A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
Chievo,Udinese,0,0,0.21,0.99,9,16,2015/2016,0
Genoa,Napoli,0,0,1.23,0.88,17,7,2019/2020,0
Cagliari,Bologna,1,1,0.93,1.04,13,12,2016/2017,1
Roma,Genoa,3,1,3.49,0.65,5,17,2020/2021,0
Empoli,Torino,0,0,0.18,0.72,16,15,2016/2017,0
Crotone,Cagliari,1,1,1.44,0.25,17,16,2017/2018,1
Sassuolo,Bologna,1,1,0.64,1.4,4,14,2016/2017,0
AC Milan,Napoli,2,3,0.52,2.04,10,4,2018/2019,0
Crotone,Napoli,1,2,0.23,1.73,18,2,2017/2018,0
Roma,Genoa,1,1,1.29,1.12,4,18,2017/2018,0
Verona,Udinese,0,0,0.97,0.81,13,16,2019/2020,1
Lazio,Fiorentina,2,0,1.86,0.57,8,9,2014/2015,0
Napoli,Torino,0,1,0.73,0.96,3,11,2014/2015,0
Carpi,Fiorentina,1,2,0.96,0.63,18,3,2015/2016,0
Inter,Fiorentina,1,2,0.64,1.76,5,4,2015/2016,0
Empoli,Genoa,1,1,1.18,0.92,14,7,2014/2015,1
Fiorentina,AC Milan,1,2,1.53,0.62,8,7,2016/2017,0
Torino,Crotone,0,0,0.24,0.3,18,20,2020/2021,1
Bologna,AC Milan,1,2,1.19,0.88,9,8,2017/2018,0
Genoa,Inter,0,3,0.1,2.86,12,1,2020/2021,0
SPAL 2013,Atalanta,1,1,0.9,0.82,16,10,2017/2018,0
Sampdoria,Fiorentina,1,1,0.46,1.71,5,6,2018/2019,1
Frosinone,SPAL 2013,3,0,1.36,0.73,20,15,2018/2019,0
Empoli,Lazio,0,4,0.9,1.65,15,3,2014/2015,0
Inter,Udinese,1,0,1.57,0.25,2,14,2019/2020,1
Empoli,Roma,1,3,0.33,1.08,10,4,2015/2016,1
Benevento,Cagliari,1,3,1.12,1.95,18,17,2020/2021,1
Torino,Roma,1,1,1.14,1.9,8,3,2014/2015,1
Chievo,Udinese,1,1,1.0,0.22,12,14,2014/2015,1
Chievo,Pescara,2,0,1.81,0.52,8,19,2016/2017,0
Cesena,Chievo,1,2,0.83,1.27,18,20,2014/2015,0
Atalanta,Bologna,4,1,1.58,1.13,5,18,2018/2019,1
Frosinone,Udinese,2,0,1.1,0.14,18,15,2015/2016,1
AC Milan,Sassuolo,2,0,1.22,0.3,10,17,2017/2018,0
Inter,AC Milan,0,0,1.9,0.69,4,6,2017/2018,0
Atalanta,Sampdoria,1,2,1.84,2.13,17,7,2014/2015,1
Atalanta,Torino,2,1,2.48,0.65,18,8,2016/2017,1
Genoa,Udinese,0,1,1.42,0.23,15,9,2017/2018,1
Sassuolo,AC Milan,0,1,1.24,2.24,12,7,2016/2017,1
Brescia,Parma Calcio 1913,1,2,1.69,1.84,19,11,2019/2020,1
Pescara,Fiorentina,1,2,0.43,0.73,20,8,2016/2017,1
Napoli,Chievo,2,0,0.64,0.42,2,4,2016/2017,1
Sassuolo,Genoa,2,1,2.26,1.05,7,19,2020/2021,1
SPAL 2013,Inter,0,4,0.81,2.53,20,4,2019/2020,1
Lazio,Fiorentina,4,0,3.7,0.2,4,5,2014/2015,1
Crotone,Sampdoria,1,1,0.57,1.42,19,12,2016/2017,1
Genoa,Fiorentina,0,0,0.07,0.3,18,16,2018/2019,0
Crotone,Parma Calcio 1913,4,3,2.72,2.13,20,19,2020/2021,0
Cagliari,Brescia,0,1,1.0,1.33,7,6,2019/2020,1
Udinese,Bologna,0,4,0.58,1.47,11,15,2016/2017,0
Genoa,Napoli,0,2,0.12,1.88,16,3,2016/2017,0
Lazio,Empoli,1,0,2.05,0.48,7,17,2018/2019,1
SPAL 2013,Inter,1,1,1.28,0.6,18,4,2017/2018,1
Atalanta,Torino,7,0,5.35,0.54,5,10,2019/2020,0
AC Milan,Sampdoria,0,1,1.04,2.1,4,9,2018/2019,0
Parma Calcio 1913,Fiorentina,1,2,1.31,2.73,12,13,2019/2020,1
Udinese,Brescia,1,1,2.41,0.71,15,19,2019/2020,0
Parma Calcio 1913,Inter,1,2,0.81,3.46,19,1,2020/2021,1
Bologna,Sassuolo,3,4,1.45,3.24,12,4,2020/2021,1
Roma,Inter,2,2,1.72,2.21,7,3,2018/2019,1
AC Milan,Parma Calcio 1913,5,4,3.78,1.43,5,19,2014/2015,0
Torino,Bologna,1,1,0.31,0.57,16,6,2017/2018,0
Sampdoria,Atalanta,0,2,0.46,1.37,10,6,2020/2021,1
Udinese,Cagliari,3,4,0.55,1.21,16,18,2014/2015,0
Sassuolo,Atalanta,1,1,0.91,1.13,7,12,2015/2016,0
Verona,Roma,1,1,1.2,2.47,20,5,2015/2016,0
Sampdoria,Udinese,4,0,3.5,0.27,8,15,2018/2019,1
Genoa,Verona,3,0,0.9,0.98,17,9,2019/2020,1
Bologna,Udinese,4,0,1.47,0.58,15,11,2016/2017,1
Sampdoria,Roma,1,0,1.56,2.65,6,5,2017/2018,0
Cesena,Genoa,0,3,1.06,2.71,19,7,2014/2015,1
Udinese,Atalanta,1,1,0.27,1.12,16,13,2015/2016,0
Fiorentina,Lazio,1,1,0.77,1.03,10,8,2018/2019,1
Juventus,Chievo,3,2,2.26,1.05,11,5,2018/2019,0
Genoa,Verona,1,0,1.07,0.67,17,19,2017/2018,0
Torino,Verona,0,0,1.62,0.55,13,20,2015/2016,1
Chievo,Genoa,1,2,1.2,2.38,19,11,2014/2015,1
Bologna,Benevento,3,0,2.23,0.69,12,20,2017/2018,1
Benevento,Cagliari,1,2,1.78,1.77,20,15,2017/2018,1
Napoli,Juventus,1,2,2.05,0.59,2,1,2018/2019,1
Atalanta,Inter,1,7,0.82,2.84,5,6,2016/2017,0
AC Milan,Atalanta,3,1,2.25,1.27,10,17,2014/2015,0
Roma,Udinese,4,0,3.28,0.56,7,14,2019/2020,0
Empoli,Torino,0,0,1.05,0.45,14,16,2014/2015,1
Fiorentina,Roma,0,2,0.37,3.63,8,6,2020/2021,0
Empoli,Juventus,0,2,0.45,2.07,13,1,2014/2015,0
Bologna,Palermo,0,1,1.72,1.67,20,14,2015/2016,1
AC Milan,Frosinone,2,0,1.67,1.66,6,19,2018/2019,1
Udinese,Fiorentina,2,2,1.89,1.08,13,11,2016/2017,1
Genoa,Sampdoria,1,2,1.09,2.08,10,15,2016/2017,0
Verona,Juventus,0,4,0.11,1.46,14,1,2014/2015,0
Genoa,Torino,0,0,0.07,1.01,16,11,2017/2018,0
Torino,Napoli,0,5,0.38,2.33,9,3,2016/2017,1
Parma Calcio 1913,Roma,1,2,1.09,1.72,16,6,2018/2019,0
Palermo,Juventus,0,1,0.12,1.23,15,2,2016/2017,1
Pescara,Palermo,2,0,1.76,0.66,20,19,2016/2017,1
Genoa,Empoli,0,0,0.29,0.09,9,19,2016/2017,1
Torino,Benevento,1,0,1.0,1.2,6,17,2017/2018,0
Sampdoria,Bologna,0,3,0.64,1.0,9,17,2018/2019,0
Genoa,Napoli,2,3,1.28,1.19,15,2,2017/2018,1
Lazio,Cagliari,3,0,2.07,0.64,4,15,2017/2018,1
Roma,SPAL 2013,0,2,1.63,1.89,6,14,2018/2019,1
Udinese,Inter,0,0,0.36,2.28,17,3,2018/2019,1
Inter,Brescia,6,0,4.23,0.33,3,19,2019/2020,1
Verona,Cagliari,1,1,2.2,2.14,16,5,2019/2020,0
Lecce,Atalanta,2,7,0.34,5.41,16,4,2019/2020,1
Lecce,Fiorentina,1,3,0.45,2.59,18,13,2019/2020,1
Atalanta,Crotone,1,1,1.38,0.85,7,17,2017/2018,0
Torino,SPAL 2013,1,2,1.24,0.95,10,20,2019/2020,1
Empoli,Genoa,0,2,0.4,0.62,17,16,2016/2017,1
Genoa,Cagliari,0,1,0.62,1.51,13,14,2018/2019,0
Genoa,Torino,5,1,1.55,0.54,8,9,2014/2015,1
Atalanta,Carpi,3,0,2.24,1.03,10,17,2015/2016,1
Inter,Bologna,2,1,1.78,0.37,5,9,2015/2016,1
Atalanta,Chievo,1,1,0.94,1.03,17,16,2014/2015,1
Cagliari,Lazio,2,2,1.57,0.79,14,4,2017/2018,1
Bologna,Juventus,1,4,1.06,3.63,12,5,2020/2021,1
Inter,Cagliari,3,1,1.21,1.17,2,13,2017/2018,0
Chievo,Torino,1,0,0.43,0.15,7,2,2015/2016,1
Udinese,Napoli,1,2,0.34,1.77,14,6,2016/2017,1
Juventus,Lazio,2,1,3.71,1.19,1,4,2019/2020,1
Chievo,Napoli,0,0,0.65,0.71,11,1,2017/2018,1
Inter,Crotone,2,0,2.34,0.76,1,20,2020/2021,0
Atalanta,Cagliari,5,2,3.61,0.66,4,16,2020/2021,1
Udinese,SPAL 2013,0,0,0.2,0.66,17,16,2018/2019,0
Cagliari,Genoa,1,1,2.58,0.35,16,6,2014/2015,1
Udinese,Genoa,1,0,0.41,0.73,19,18,2020/2021,1
Lazio,Verona,1,0,0.46,0.22,7,9,2020/2021,0
Fiorentina,Bologna,4,0,2.39,1.3,13,11,2019/2020,1
Fiorentina,Parma Calcio 1913,3,3,1.26,2.67,16,19,2020/2021,1
AC Milan,Verona,3,1,2.18,1.53,6,8,2014/2015,0
AC Milan,Torino,0,2,0.6,1.24,6,8,2018/2019,0
Sassuolo,Chievo,2,0,1.15,0.54,10,20,2018/2019,0
Inter,Udinese,1,2,1.37,1.49,12,10,2014/2015,1
AC Milan,Bologna,2,1,1.25,1.26,7,15,2018/2019,1
Roma,Juventus,0,1,0.51,0.83,2,1,2016/2017,0
AC Milan,Napoli,0,0,1.25,0.7,4,2,2018/2019,1
Roma,Atalanta,1,0,0.36,1.48,13,4,2017/2018,0
Atalanta,Parma Calcio 1913,3,1,3.89,0.99,7,13,2018/2019,0
Parma Calcio 1913,Udinese,2,4,1.86,1.06,17,4,2014/2015,0
Juventus,Sampdoria,2,1,0.87,0.56,2,16,2019/2020,0
Sampdoria,Napoli,1,2,0.71,1.52,13,5,2020/2021,0
Verona,Sassuolo,0,1,0.78,1.05,14,17,2019/2020,1
Roma,Crotone,4,0,2.22,1.21,8,20,2016/2017,1
Palermo,Inter,1,1,1.06,2.05,11,3,2015/2016,1
Chievo,Cagliari,1,0,1.21,0.32,13,12,2016/2017,1
Torino,SPAL 2013,1,1,1.56,0.38,16,20,2019/2020,0
SPAL 2013,Brescia,0,1,1.92,1.91,19,20,2019/2020,1
Palermo,Sassuolo,1,4,1.33,1.48,18,16,2016/2017,0
Roma,Verona,3,1,2.18,0.73,4,9,2020/2021,1
AC Milan,Lazio,2,0,2.63,0.7,11,5,2016/2017,1
Roma,Udinese,2,1,2.53,1.03,3,14,2014/2015,1
Genoa,Sassuolo,0,5,1.11,3.05,17,8,2019/2020,0
Inter,AC Milan,2,2,1.52,1.65,7,6,2016/2017,1
Cagliari,AC Milan,0,2,1.19,1.7,17,2,2020/2021,1
Juventus,Parma Calcio 1913,3,1,2.5,1.31,4,19,2020/2021,1
Genoa,Roma,0,1,0.29,3.5,4,2,2014/2015,1
Lazio,Bologna,2,1,1.54,0.38,12,3,2015/2016,1
Cagliari,AC Milan,1,2,0.8,1.89,16,11,2017/2018,1
Lazio,Brescia,2,0,3.91,0.79,4,19,2019/2020,1
Chievo,Napoli,0,2,0.42,0.64,4,2,2016/2017,0
Sassuolo,Verona,2,1,1.47,0.66,11,13,2014/2015,1
AC Milan,Roma,1,1,0.78,1.78,4,5,2018/2019,0
Inter,Crotone,1,1,0.55,0.86,4,17,2017/2018,1
Roma,Sassuolo,2,2,1.67,0.91,5,7,2015/2016,1
Sampdoria,Palermo,1,1,0.8,0.92,12,11,2014/2015,0
Genoa,Torino,1,2,1.1,1.25,12,10,2017/2018,1
Lazio,Udinese,0,0,0.87,0.44,9,16,2015/2016,0
Atalanta,Lazio,3,2,2.26,0.66,4,2,2019/2020,1
Cagliari,Lazio,1,2,1.28,1.59,13,8,2018/2019,1
Napoli,Torino,2,1,1.36,1.06,4,13,2015/2016,1
Lazio,Chievo,1,1,1.03,1.1,5,20,2018/2019,0
Crotone,Sassuolo,4,1,2.39,1.32,17,13,2017/2018,1
AC Milan,Torino,0,0,1.16,1.0,9,10,2017/2018,1
Sassuolo,SPAL 2013,1,1,2.14,0.48,18,17,2017/2018,1
Fiorentina,Benevento,3,0,2.49,0.18,12,20,2017/2018,0
SPAL 2013,Roma,0,3,0.23,1.41,17,4,2017/2018,1
Napoli,Empoli,2,4,1.02,1.2,4,16,2014/2015,0
Lazio,SPAL 2013,1,2,1.46,1.1,8,18,2019/2020,0
Lazio,Inter,2,1,1.4,0.52,12,1,2015/2016,0
Inter,Sampdoria,2,1,1.93,0.96,3,9,2018/2019,1
Fiorentina,Torino,1,1,1.48,2.16,12,17,2020/2021,0
Brescia,Roma,0,3,1.42,3.13,19,5,2019/2020,1
Genoa,Benevento,0,2,0.25,1.55,18,14,2020/2021,0
Inter,Crotone,1,2,1.91,2.02,7,18,2016/2017,0
Genoa,Juventus,1,2,0.27,2.66,17,2,2019/2020,0
AC Milan,Lazio,0,3,1.83,2.28,4,6,2020/2021,0
Bologna,Sampdoria,3,0,1.23,0.73,10,6,2017/2018,1
Carpi,Fiorentina,0,1,1.5,0.42,19,8,2015/2016,1
Inter,AC Milan,0,3,1.76,2.32,4,6,2015/2016,0
Bologna,Carpi,0,0,1.16,0.29,9,19,2015/2016,1
Cagliari,Genoa,0,1,0.96,1.24,8,18,2019/2020,0
Inter,Roma,3,1,2.31,0.96,1,7,2020/2021,1
SPAL 2013,Udinese,0,3,0.33,1.35,20,15,2019/2020,1
Bologna,Atalanta,0,2,0.38,3.92,9,15,2015/2016,0
Sassuolo,Verona,2,3,2.08,1.76,14,15,2014/2015,0
Verona,Genoa,1,1,1.74,0.67,20,17,2015/2016,1
Sassuolo,Lazio,2,3,1.67,1.6,20,10,2014/2015,0
Bologna,Atalanta,2,1,1.34,2.16,13,6,2019/2020,1
AC Milan,Fiorentina,1,2,0.79,1.77,10,5,2014/2015,0
Udinese,Fiorentina,0,3,0.93,2.03,11,3,2015/2016,0
Carpi,Genoa,4,1,3.16,1.38,17,11,2015/2016,1
Lazio,Cesena,1,2,0.28,0.97,4,19,2014/2015,0
Inter,Cagliari,2,1,2.42,1.35,11,18,2014/2015,0
Lazio,Sassuolo,1,1,1.49,0.54,5,8,2018/2019,0
Sassuolo,Udinese,1,1,0.8,1.86,7,16,2015/2016,1
Sassuolo,Napoli,1,1,0.52,1.24,14,7,2016/2017,0
AC Milan,Lazio,1,4,1.21,2.36,5,7,2017/2018,0
Udinese,Verona,0,1,2.15,1.35,14,12,2020/2021,0
Sassuolo,Genoa,0,1,0.74,0.7,7,10,2015/2016,1
Genoa,Torino,0,1,0.93,0.66,18,12,2019/2020,1
Juventus,Palermo,3,0,1.6,0.46,7,16,2015/2016,0
Inter,Bologna,1,0,2.15,0.77,6,14,2016/2017,0
Fiorentina,Verona,2,1,1.14,1.96,16,9,2020/2021,0
Atalanta,Roma,1,2,0.87,0.32,16,2,2014/2015,1
Empoli,Palermo,0,0,1.19,1.16,15,11,2014/2015,0
Udinese,Fiorentina,1,1,1.42,0.59,16,10,2018/2019,1
Pescara,Atalanta,0,1,0.23,0.67,19,12,2016/2017,1
Chievo,Genoa,2,1,0.39,1.49,15,16,2016/2017,0
Sampdoria,Napoli,0,2,0.9,1.9,10,5,2020/2021,1
Napoli,Crotone,2,1,2.32,1.78,7,20,2016/2017,0
Sassuolo,Cagliari,1,0,2.63,2.26,17,11,2017/2018,0
Napoli,Parma Calcio 1913,2,2,1.45,1.3,4,20,2014/2015,0
Genoa,Sassuolo,1,0,0.7,0.74,10,7,2015/2016,0
Lazio,Atalanta,1,4,1.8,1.9,8,7,2020/2021,1
Atalanta,Torino,1,1,1.04,0.85,10,11,2017/2018,0
Torino,AC Milan,1,1,1.44,0.5,10,6,2017/2018,1
Bologna,Sampdoria,2,1,2.33,1.01,11,16,2019/2020,0
Chievo,Frosinone,2,0,1.3,1.23,13,18,2015/2016,0
Cesena,Napoli,2,3,0.51,1.92,19,4,2014/2015,0
AC Milan,Chievo,0,0,0.74,0.99,6,11,2015/2016,0
Juventus,Parma Calcio 1913,7,0,2.12,0.14,1,20,2014/2015,1
Udinese,Napoli,1,0,0.69,0.44,13,12,2014/2015,1
Spezia,Parma Calcio 1913,2,2,0.97,3.67,14,18,2020/2021,0
Genoa,Udinese,1,1,1.65,1.92,14,11,2020/2021,1
Juventus,Sampdoria,5,0,2.79,0.17,1,15,2015/2016,1
Genoa,Cagliari,1,4,1.12,2.74,12,15,2016/2017,0
Juventus,Roma,1,0,0.69,0.2,2,5,2015/2016,1
Sampdoria,Crotone,5,0,2.29,0.59,6,15,2017/2018,1
Atalanta,Lazio,1,3,1.18,2.39,5,7,2020/2021,1
Udinese,Roma,2,0,1.95,0.72,16,5,2019/2020,0
Torino,Benevento,2,2,1.45,1.6,18,11,2020/2021,0
Verona,Sassuolo,1,1,1.16,1.5,20,8,2015/2016,1
Juventus,Roma,0,2,1.05,1.39,1,6,2018/2019,0
Parma Calcio 1913,Torino,0,0,0.76,0.86,14,7,2018/2019,1
Torino,Crotone,2,2,2.01,0.39,7,17,2017/2018,0
Sassuolo,Lazio,2,2,1.21,3.36,12,8,2018/2019,0
Inter,Roma,1,1,1.6,0.53,3,5,2018/2019,1
Brescia,Fiorentina,0,0,0.54,0.83,16,9,2019/2020,1
Cagliari,Bologna,1,2,0.92,1.76,16,14,2016/2017,0
Bologna,Parma Calcio 1913,0,0,0.27,0.78,18,12,2018/2019,0
Roma,Frosinone,4,0,2.53,0.49,16,20,2018/2019,1
Cagliari,AC Milan,0,3,0.23,3.32,13,6,2019/2020,0
Genoa,Roma,1,3,1.17,2.76,19,5,2019/2020,1
Torino,Frosinone,2,1,0.88,1.11,8,19,2018/2019,0
Napoli,AC Milan,4,0,1.81,0.38,10,11,2015/2016,0
Empoli,Juventus,0,2,0.77,1.51,17,1,2014/2015,1
Lazio,Udinese,2,0,0.89,1.28,8,16,2018/2019,1
Genoa,Inter,0,1,0.83,0.61,18,3,2017/2018,0
Cesena,Sassuolo,1,1,0.95,1.76,19,12,2014/2015,0
Juventus,Napoli,1,0,0.56,0.22,2,1,2015/2016,1
Genoa,Empoli,1,1,0.64,1.57,11,14,2014/2015,1
Empoli,AC Milan,1,4,1.53,0.78,17,3,2016/2017,1
Udinese,Juventus,0,2,0.2,1.11,3,5,2014/2015,0
Cagliari,Sampdoria,0,1,0.59,3.21,14,10,2018/2019,0
Juventus,Cagliari,2,0,1.68,0.45,1,15,2016/2017,0
Torino,Chievo,3,1,1.23,0.97,9,13,2016/2017,0
Lecce,Inter,0,4,0.41,2.14,13,12,2019/2020,0
Udinese,Lazio,0,0,1.03,0.72,15,4,2019/2020,1
Crotone,Bologna,0,1,0.98,1.05,19,16,2016/2017,1
Roma,Bologna,3,0,3.45,0.79,3,16,2016/2017,1
AC Milan,Sassuolo,2,1,1.41,1.05,2,6,2020/2021,0
Atalanta,Sassuolo,2,1,1.26,0.3,17,12,2014/2015,1
Genoa,Verona,1,2,0.77,2.46,18,13,2019/2020,0
Juventus,Bologna,3,1,3.4,0.14,16,20,2015/2016,1
Fiorentina,Palermo,3,2,1.0,1.04,6,11,2014/2015,0
Verona,Genoa,0,0,0.88,0.38,10,16,2020/2021,1
Empoli,Napoli,1,5,0.77,2.45,18,3,2018/2019,0
Juventus,Genoa,0,2,0.31,1.05,1,13,2018/2019,0
Crotone,Spezia,2,3,1.44,1.39,20,16,2020/2021,0
Chievo,Atalanta,0,1,0.2,2.43,13,8,2017/2018,0
Parma Calcio 1913,Verona,2,2,1.1,1.42,20,12,2014/2015,1
Palermo,Chievo,1,1,1.27,0.87,19,13,2016/2017,0
Torino,Sassuolo,1,1,1.98,1.09,9,14,2014/2015,0
SPAL 2013,Parma Calcio 1913,1,0,1.31,0.24,19,9,2019/2020,1
Lazio,Juventus,1,1,1.08,1.27,10,11,2020/2021,1
Bologna,Genoa,0,3,0.57,1.72,7,18,2019/2020,1
Sampdoria,Udinese,0,4,0.52,3.63,7,17,2017/2018,0
Napoli,Genoa,3,2,1.19,1.28,2,15,2017/2018,0
Genoa,Inter,0,3,0.4,2.09,17,3,2019/2020,1
Lazio,Cagliari,2,2,0.79,1.57,4,14,2017/2018,0
Napoli,Sampdoria,3,0,1.99,0.83,2,6,2018/2019,1
Lazio,Napoli,1,4,0.28,2.65,5,3,2017/2018,1
Sampdoria,Verona,2,1,1.54,1.72,18,8,2019/2020,1
Roma,Lazio,2,0,1.04,0.77,7,6,2020/2021,1
Sampdoria,SPAL 2013,2,1,1.13,0.6,10,15,2018/2019,0
Napoli,Parma Calcio 1913,2,0,2.61,0.1,7,20,2014/2015,1
Sampdoria,Inter,1,2,0.54,2.5,16,3,2019/2020,0
Fiorentina,Cagliari,1,0,2.16,1.87,8,13,2016/2017,1
AC Milan,Sampdoria,1,0,1.96,0.61,7,6,2017/2018,1
Palermo,Chievo,0,2,0.7,1.11,19,15,2016/2017,1
Fiorentina,Genoa,0,0,0.99,0.23,10,18,2017/2018,1
Roma,Sampdoria,1,1,2.29,1.98,5,6,2017/2018,0
Atalanta,Verona,5,0,3.38,0.3,8,19,2017/2018,0
Verona,Napoli,0,2,0.17,2.39,19,4,2015/2016,1
Sampdoria,Genoa,1,1,0.55,0.28,10,13,2020/2021,0
Verona,Genoa,1,3,1.55,1.54,19,12,2017/2018,0
Juventus,Empoli,3,1,2.15,0.48,10,12,2015/2016,0
Chievo,Cagliari,0,4,1.4,2.85,12,14,2016/2017,0
Udinese,Genoa,1,0,0.23,1.42,9,15,2017/2018,0
Torino,Napoli,1,2,0.46,1.71,11,3,2015/2016,1
Lecce,SPAL 2013,2,1,1.6,1.36,17,20,2019/2020,1
Empoli,Sampdoria,0,0,1.33,1.14,17,13,2016/2017,0
Empoli,Chievo,2,2,2.77,1.72,17,20,2018/2019,1
AC Milan,Atalanta,0,2,1.01,2.0,9,8,2017/2018,1
Torino,Fiorentina,1,1,0.96,1.19,9,6,2018/2019,1
Torino,Inter,2,2,0.92,0.79,18,17,2018/2019,0
Sampdoria,Napoli,0,3,0.83,1.99,6,2,2018/2019,0
Atalanta,Sassuolo,5,1,3.5,0.5,7,4,2020/2021,1
Torino,Genoa,3,0,1.42,1.07,16,17,2019/2020,1
Empoli,Atalanta,2,2,2.45,1.88,16,17,2014/2015,0
Chievo,Fiorentina,1,6,0.64,3.33,16,11,2018/2019,0
AC Milan,Chievo,1,0,1.5,0.18,10,11,2015/2016,1
Fiorentina,Sampdoria,2,0,2.71,0.33,3,10,2015/2016,0
Juventus,Sassuolo,0,1,0.55,0.33,12,8,2015/2016,0
Lecce,Sampdoria,1,2,1.75,1.89,18,16,2019/2020,1
Juventus,Fiorentina,1,1,1.16,1.21,4,14,2020/2021,0
Atalanta,Torino,4,2,2.47,0.77,13,16,2020/2021,0
Roma,Pescara,3,2,3.04,1.2,5,20,2016/2017,1
Empoli,Inter,1,2,0.93,1.75,12,4,2015/2016,0
Udinese,Napoli,1,1,0.57,1.08,16,7,2019/2020,1
Chievo,Roma,0,0,0.7,0.72,16,2,2014/2015,1
Juventus,Lazio,1,2,2.33,1.68,2,4,2017/2018,1
Empoli,Torino,1,0,1.26,0.96,15,9,2014/2015,0
Genoa,Chievo,0,0,0.41,0.46,13,20,2018/2019,0
Lazio,Udinese,3,0,2.92,0.75,3,15,2019/2020,1
Udinese,Sampdoria,1,1,0.8,0.95,12,11,2016/2017,1
Genoa,Udinese,0,3,0.86,0.5,16,12,2016/2017,0
AC Milan,Chievo,3,1,2.55,0.41,12,19,2018/2019,1
Udinese,Juventus,1,4,0.1,2.73,15,1,2018/2019,0
Sampdoria,Fiorentina,2,1,2.18,2.03,18,9,2020/2021,0
Parma Calcio 1913,Genoa,1,2,1.2,1.77,18,12,2014/2015,1
Torino,Empoli,3,0,1.2,0.22,12,16,2018/2019,1
Fiorentina,AC Milan,1,1,1.92,0.94,9,11,2017/2018,1
Napoli,Juventus,1,3,1.1,0.85,4,1,2014/2015,1
Fiorentina,AC Milan,0,2,0.82,1.05,4,8,2015/2016,0
SPAL 2013,Bologna,1,0,0.53,0.91,14,5,2018/2019,0
Sampdoria,Atalanta,2,1,2.13,1.84,7,17,2014/2015,0
Udinese,Fiorentina,0,0,0.93,0.33,14,13,2019/2020,1
AC Milan,Sampdoria,1,1,1.23,0.56,9,5,2014/2015,1
Atalanta,Roma,0,1,1.48,0.36,4,13,2017/2018,1
Udinese,Genoa,2,2,0.85,1.22,15,17,2019/2020,1
Sassuolo,Parma Calcio 1913,0,1,0.51,1.51,9,17,2019/2020,0
Fiorentina,Bologna,2,1,0.58,0.31,10,9,2017/2018,1
Fiorentina,Verona,1,1,1.68,1.25,17,9,2020/2021,1
Sampdoria,AC Milan,1,0,2.1,1.04,9,4,2018/2019,1
Brescia,Torino,1,3,1.44,1.89,19,16,2019/2020,0
Genoa,Roma,1,1,2.43,0.73,16,5,2018/2019,1
Sampdoria,Crotone,1,2,1.65,1.47,10,18,2016/2017,1
Udinese,Lazio,0,3,0.75,2.92,15,3,2019/2020,0
Sampdoria,Cagliari,1,2,1.13,1.34,14,16,2016/2017,0
AC Milan,Udinese,2,1,2.78,0.22,9,12,2017/2018,1
Atalanta,Genoa,2,1,1.37,1.3,12,16,2017/2018,0
Sassuolo,Udinese,0,0,0.08,0.09,2,19,2020/2021,1
Frosinone,SPAL 2013,0,1,1.02,0.23,19,17,2018/2019,1
Udinese,SPAL 2013,0,0,1.6,1.96,14,20,2019/2020,1
Inter,Genoa,2,3,2.04,2.09,8,6,2014/2015,0
Bologna,Udinese,0,1,0.6,1.3,15,16,2016/2017,0
Cagliari,SPAL 2013,2,0,1.09,0.55,15,10,2017/2018,0
Fiorentina,Cagliari,1,0,1.91,1.26,14,15,2020/2021,1
Fiorentina,Udinese,0,1,0.39,1.01,14,13,2020/2021,0
Napoli,Sampdoria,4,2,1.62,1.73,11,16,2019/2020,0
Atalanta,Empoli,0,0,0.98,0.59,12,8,2015/2016,1
Spezia,Atalanta,0,0,0.59,2.2,13,7,2020/2021,1
Juventus,Bologna,2,0,3.52,0.43,6,13,2020/2021,1
Cagliari,Lazio,2,4,1.38,2.21,15,6,2014/2015,0
Juventus,AC Milan,3,1,0.64,1.09,1,6,2017/2018,1
Sassuolo,Juventus,0,3,0.44,2.11,11,1,2018/2019,1
Genoa,Sassuolo,2,1,0.93,1.06,16,5,2015/2016,1
Chievo,Inter,0,1,0.89,1.37,3,1,2015/2016,1
Atalanta,Chievo,5,1,2.17,0.86,17,19,2018/2019,0
Juventus,Genoa,1,0,1.64,0.26,1,9,2014/2015,1
Napoli,Bologna,3,2,1.87,0.74,2,18,2018/2019,1
Lazio,Inter,1,1,1.21,0.72,12,5,2020/2021,1
Cagliari,Genoa,0,1,2.17,1.63,16,14,2020/2021,1
Lazio,Roma,1,1,2.07,1.2,6,12,2019/2020,1
Inter,Benevento,5,2,4.53,1.25,10,8,2020/2021,0
AC Milan,Spezia,3,0,2.65,0.15,4,12,2020/2021,1
Inter,Verona,2,2,2.06,2.15,9,11,2014/2015,1
Sassuolo,Torino,1,1,1.41,0.97,15,11,2017/2018,1
Sassuolo,Empoli,1,3,0.62,2.09,13,16,2014/2015,0
Sassuolo,Inter,0,0,1.38,1.24,11,3,2018/2019,0
Atalanta,Fiorentina,2,2,1.45,1.41,6,19,2019/2020,1
Genoa,Torino,1,2,1.19,0.44,15,19,2020/2021,1
Napoli,Pescara,3,1,3.43,1.25,4,20,2016/2017,1
Palermo,Torino,1,2,0.38,0.58,12,7,2015/2016,0
Torino,Parma Calcio 1913,1,0,1.35,0.4,17,19,2020/2021,1
Torino,Bologna,1,1,1.86,0.33,16,11,2020/2021,0
Crotone,Lazio,2,2,0.91,2.57,17,4,2017/2018,1
