A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
Sampdoria,Chievo,0,1,1.18,2.61,15,11,2015/2016,1
AC Milan,Chievo,2,0,1.6,0.55,6,15,2014/2015,1
Genoa,Palermo,4,0,2.94,0.41,17,16,2015/2016,1
Roma,Parma Calcio 1913,0,2,0.97,1.3,5,10,2019/2020,0
Sampdoria,Genoa,1,1,0.86,1.18,7,17,2020/2021,1
Cagliari,Roma,2,3,1.2,3.36,14,4,2020/2021,0
Sassuolo,Frosinone,2,0,1.18,0.42,10,19,2018/2019,0
Roma,Chievo,0,0,0.72,0.7,2,16,2014/2015,0
Verona,Sampdoria,0,0,0.99,1.58,19,9,2017/2018,1
Napoli,AC Milan,0,0,0.7,1.25,2,4,2018/2019,0
Udinese,Bologna,1,1,0.75,1.17,15,10,2019/2020,0
Carpi,Genoa,2,1,2.06,0.67,20,15,2015/2016,0
Empoli,Torino,1,1,1.95,1.93,17,9,2016/2017,1
Brescia,Lazio,1,2,0.31,1.75,18,3,2019/2020,1
Chievo,Sampdoria,2,1,0.28,2.08,16,8,2017/2018,1
Sampdoria,Empoli,1,2,1.88,2.21,9,18,2018/2019,1
Cagliari,Chievo,0,2,1.02,1.42,11,13,2017/2018,1
Atalanta,Inter,1,1,0.96,0.82,5,6,2020/2021,1
Fiorentina,Napoli,1,4,0.64,4.34,7,3,2016/2017,0
Fiorentina,Sampdoria,1,3,1.91,2.22,9,7,2017/2018,0
Roma,Napoli,3,1,1.82,1.66,3,2,2016/2017,0
Palermo,Roma,2,4,1.27,2.02,13,8,2015/2016,1
Verona,Parma Calcio 1913,3,1,2.47,0.47,16,19,2014/2015,1
Sassuolo,Sampdoria,1,0,0.73,0.03,13,9,2017/2018,1
Sampdoria,Fiorentina,2,1,2.15,1.86,7,19,2017/2018,0
SPAL 2013,AC Milan,0,4,0.48,2.75,18,8,2017/2018,1
Roma,Frosinone,3,1,1.21,0.52,5,19,2015/2016,1
Roma,Juventus,1,2,2.58,1.34,5,2,2019/2020,1
Lazio,Udinese,1,0,1.51,1.92,7,12,2020/2021,0
Roma,Crotone,2,0,2.48,0.48,3,18,2017/2018,0
Sassuolo,Genoa,2,1,1.92,0.75,8,14,2020/2021,0
Chievo,Roma,0,3,1.12,1.53,20,7,2018/2019,1
AC Milan,Genoa,0,3,0.44,0.92,3,12,2016/2017,0
Cagliari,AC Milan,1,3,1.09,2.32,18,10,2014/2015,0
Verona,Fiorentina,1,1,0.59,1.61,9,13,2019/2020,0
Parma Calcio 1913,Genoa,1,2,2.1,0.9,19,14,2020/2021,1
AC Milan,Napoli,1,2,0.97,1.55,5,3,2016/2017,1
Crotone,Sampdoria,4,1,2.72,0.84,19,6,2017/2018,1
Udinese,Parma Calcio 1913,0,2,1.88,1.43,14,8,2019/2020,0
AC Milan,Brescia,1,0,2.15,1.22,8,19,2019/2020,0
Napoli,Fiorentina,2,1,2.26,0.68,7,1,2015/2016,1
Sampdoria,Sassuolo,0,0,1.28,0.64,6,8,2018/2019,1
Frosinone,Carpi,2,1,1.0,0.64,17,20,2015/2016,1
Verona,Udinese,0,1,0.8,2.37,19,18,2017/2018,1
Sampdoria,Verona,3,1,2.98,1.57,6,15,2014/2015,0
Sampdoria,Napoli,3,0,0.83,1.12,20,3,2018/2019,1
Torino,Inter,1,0,0.62,0.77,12,3,2018/2019,1
Juventus,Cagliari,3,1,2.34,0.66,3,17,2020/2021,0
Genoa,Pescara,1,1,0.51,1.09,10,19,2016/2017,1
Lazio,Napoli,0,5,0.97,2.73,10,18,2015/2016,0
Bologna,AC Milan,1,2,1.35,3.33,13,1,2020/2021,1
Udinese,Verona,2,0,2.22,0.32,15,9,2020/2021,1
Carpi,Inter,1,2,0.87,3.03,18,6,2015/2016,1
Frosinone,Cagliari,0,1,0.85,1.65,19,12,2018/2019,0
Fiorentina,Sassuolo,0,1,1.14,1.77,10,13,2018/2019,1
AC Milan,SPAL 2013,4,0,2.75,0.48,8,18,2017/2018,0
Atalanta,Bologna,2,2,1.89,1.09,7,15,2020/2021,0
Atalanta,Udinese,2,0,2.66,0.4,7,12,2017/2018,1
Verona,Cagliari,2,1,0.55,1.18,9,12,2019/2020,1
Lazio,Sassuolo,0,2,0.97,1.97,6,8,2020/2021,0
AC Milan,Lazio,1,2,0.72,1.11,10,5,2019/2020,1
Carpi,Chievo,1,2,0.95,0.54,20,14,2015/2016,1
Napoli,AC Milan,0,0,1.36,0.61,2,6,2017/2018,0
SPAL 2013,Cagliari,2,2,1.92,1.01,15,14,2018/2019,1
Sampdoria,Fiorentina,3,1,1.87,1.45,6,10,2014/2015,1
Sassuolo,Fiorentina,1,1,1.71,1.72,5,17,2020/2021,0
Sassuolo,Juventus,1,0,0.33,0.55,8,12,2015/2016,1
Napoli,Fiorentina,0,3,0.1,2.52,2,8,2017/2018,0
Palermo,Cagliari,1,3,1.48,1.59,19,15,2016/2017,1
Empoli,Verona,1,0,2.21,1.93,12,20,2015/2016,1
Genoa,Napoli,1,1,0.92,1.99,14,2,2018/2019,0
Brescia,Cagliari,2,2,1.37,3.55,19,6,2019/2020,1
Crotone,Chievo,2,1,0.82,1.02,19,11,2016/2017,0
Inter,AC Milan,3,2,2.25,0.84,3,8,2017/2018,1
AC Milan,Napoli,0,0,0.61,1.36,6,2,2017/2018,1
