A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals
Atalanta,Roma,1,2,16,2,2014/2015,1,3
Lazio,Juventus,0,3,5,1,2014/2015,1,3
AC Milan,Inter,1,1,7,9,2014/2015,1,2
Cesena,Sampdoria,1,1,19,4,2014/2015,1,2
Napoli,Cagliari,3,3,3,15,2014/2015,1,6
Parma Calcio 1913,Empoli,0,2,20,16,2014/2015,1,2
Torino,Sassuolo,0,1,15,14,2014/2015,1,1
Udinese,Chievo,1,1,9,18,2014/2015,1,2
Verona,Fiorentina,1,2,11,12,2014/2015,1,3
Genoa,Palermo,1,1,6,14,2014/2015,1,2
Chievo,Lazio,0,0,18,6,2014/2015,1,0
Sassuolo,Verona,2,1,11,13,2014/2015,1,3
AC Milan,Udinese,2,0,7,8,2014/2015,1,2
Cagliari,Fiorentina,0,4,16,11,2014/2015,1,4
Cesena,Genoa,0,3,19,7,2014/2015,1,3
Empoli,Atalanta,0,0,14,17,2014/2015,1,0
Juventus,Torino,2,1,1,15,2014/2015,1,3
Palermo,Parma Calcio 1913,2,1,13,20,2014/2015,1,3
Roma,Inter,4,2,2,11,2014/2015,1,6
Sampdoria,Napoli,1,1,6,4,2014/2015,1,2
Fiorentina,Juventus,0,0,8,1,2014/2015,1,0
Roma,Sassuolo,2,2,2,10,2014/2015,1,4
Torino,Palermo,2,2,15,12,2014/2015,1,4
Atalanta,Cesena,3,2,17,19,2014/2015,1,5
Genoa,AC Milan,1,0,4,6,2014/2015,1,1
Inter,Udinese,1,2,12,10,2014/2015,1,3
Napoli,Empoli,2,2,4,13,2014/2015,1,4
Parma Calcio 1913,Lazio,1,2,20,9,2014/2015,1,3
Cagliari,Chievo,0,2,17,18,2014/2015,1,2
Verona,Sampdoria,1,3,15,6,2014/2015,1,4
Lazio,Atalanta,3,0,6,14,2014/2015,1,3
Palermo,Sassuolo,2,1,11,10,2014/2015,1,3
AC Milan,Napoli,2,0,7,6,2014/2015,1,2
Cesena,Fiorentina,1,4,19,10,2014/2015,1,5
Genoa,Roma,0,1,4,2,2014/2015,1,1
Juventus,Sampdoria,1,1,1,5,2014/2015,1,2
Parma Calcio 1913,Cagliari,0,0,20,18,2014/2015,1,0
Udinese,Verona,1,2,9,14,2014/2015,1,3
Chievo,Inter,0,2,16,12,2014/2015,1,2
Empoli,Torino,0,0,14,16,2014/2015,1,0
Cagliari,Juventus,1,3,18,1,2014/2015,1,4
Napoli,Parma Calcio 1913,2,0,7,20,2014/2015,1,2
Roma,AC Milan,0,0,2,7,2014/2015,1,0
Sassuolo,Cesena,1,1,12,19,2014/2015,1,2
Atalanta,Palermo,3,3,16,10,2014/2015,1,6
Fiorentina,Empoli,1,1,8,14,2014/2015,1,2
Inter,Lazio,2,2,11,4,2014/2015,1,4
Sampdoria,Udinese,2,2,5,11,2014/2015,1,4
Torino,Genoa,2,1,16,6,2014/2015,1,3
Verona,Chievo,0,1,15,17,2014/2015,1,1
Lazio,Sampdoria,3,0,3,5,2014/2015,1,3
