A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals
Inter,Roma,1,0,4,1,2015/2016,1,1
Juventus,Torino,2,1,12,10,2015/2016,1,3
Bologna,Atalanta,3,0,18,7,2015/2016,1,3
Carpi,Verona,0,0,20,19,2015/2016,1,0
Fiorentina,Frosinone,4,1,4,17,2015/2016,1,5
Genoa,Napoli,0,0,14,4,2015/2016,1,0
Lazio,AC Milan,1,3,6,8,2015/2016,1,4
Udinese,Sassuolo,0,0,16,6,2015/2016,1,0
Chievo,Sampdoria,1,1,12,9,2015/2016,1,2
Palermo,Empoli,0,1,16,15,2015/2016,1,1
AC Milan,Atalanta,0,0,6,8,2015/2016,1,0
Verona,Bologna,0,2,19,18,2015/2016,1,2
Empoli,Juventus,1,3,12,10,2015/2016,1,4
Frosinone,Genoa,2,2,18,15,2015/2016,1,4
Napoli,Udinese,1,0,4,16,2015/2016,1,1
Palermo,Chievo,1,0,17,13,2015/2016,1,1
Roma,Lazio,2,0,4,9,2015/2016,1,2
Sampdoria,Fiorentina,0,2,10,3,2015/2016,1,2
Sassuolo,Carpi,1,0,6,20,2015/2016,1,1
Torino,Inter,0,1,11,4,2015/2016,1,1
Bologna,Roma,2,2,16,3,2015/2016,1,4
Juventus,AC Milan,1,0,7,6,2015/2016,1,1
Atalanta,Torino,0,1,8,11,2015/2016,1,1
Carpi,Chievo,1,2,20,14,2015/2016,1,3
Fiorentina,Empoli,2,2,1,14,2015/2016,1,4
Genoa,Sassuolo,2,1,16,5,2015/2016,1,3
Inter,Frosinone,4,0,3,18,2015/2016,1,4
Lazio,Palermo,1,1,10,15,2015/2016,1,2
Udinese,Sampdoria,1,0,17,12,2015/2016,1,1
Verona,Napoli,0,2,19,4,2015/2016,1,2
AC Milan,Sampdoria,4,1,7,12,2015/2016,1,5
Torino,Bologna,2,0,9,17,2015/2016,1,2
Chievo,Udinese,2,3,11,15,2015/2016,1,5
Empoli,Lazio,1,0,16,9,2015/2016,1,1
Frosinone,Verona,3,2,18,19,2015/2016,1,5
Genoa,Carpi,1,2,15,20,2015/2016,1,3
Palermo,Juventus,0,3,16,7,2015/2016,1,3
Roma,Atalanta,0,2,4,10,2015/2016,1,2
Sassuolo,Fiorentina,1,1,7,3,2015/2016,1,2
Napoli,Inter,2,1,3,1,2015/2016,1,3
Lazio,Juventus,0,2,10,5,2015/2016,1,2
Inter,Genoa,1,0,2,15,2015/2016,1,1
Torino,Roma,1,1,8,4,2015/2016,1,2
Atalanta,Palermo,3,0,9,16,2015/2016,1,3
Bologna,Napoli,3,2,18,2,2015/2016,1,5
Carpi,AC Milan,0,0,19,8,2015/2016,1,0
Fiorentina,Udinese,3,0,3,11,2015/2016,1,3
Frosinone,Chievo,0,2,18,13,2015/2016,1,2
Sampdoria,Sassuolo,1,3,14,8,2015/2016,1,4
Verona,Empoli,0,1,20,12,2015/2016,1,1
Genoa,Bologna,0,1,16,15,2015/2016,1,1
Palermo,Frosinone,4,1,17,18,2015/2016,1,5
Udinese,Inter,0,4,14,1,2015/2016,1,4
AC Milan,Verona,1,1,8,20,2015/2016,1,2
Chievo,Atalanta,1,0,11,8,2015/2016,1,1
Empoli,Carpi,3,0,11,19,2015/2016,1,3
Juventus,Fiorentina,3,1,5,2,2015/2016,1,4
Napoli,Roma,0,0,3,5,2015/2016,1,0
Lazio,Sampdoria,1,1,13,16,2015/2016,1,2
Bologna,Empoli,2,3,13,9,2015/2016,1,5
Atalanta,Napoli,1,3,9,3,2015/2016,1,4
Carpi,Juventus,2,3,19,4,2015/2016,1,5
Fiorentina,Chievo,2,0,4,10,2015/2016,1,2
Frosinone,AC Milan,2,4,18,8,2015/2016,1,6
Inter,Lazio,1,2,1,12,2015/2016,1,3
Roma,Genoa,2,0,5,17,2015/2016,1,2
Sampdoria,Palermo,2,0,16,14,2015/2016,1,2
Torino,Udinese,0,1,12,16,2015/2016,1,1
Verona,Sassuolo,1,1,20,8,2015/2016,1,2
Genoa,Sampdoria,2,3,17,14,2015/2016,1,5
AC Milan,Bologna,0,1,6,15,2015/2016,1,1
Chievo,Roma,3,3,12,5,2015/2016,1,6
Empoli,Inter,0,1,8,1,2015/2016,1,1
Juventus,Verona,3,0,4,20,2015/2016,1,3
Lazio,Carpi,0,0,12,19,2015/2016,1,0
Napoli,Torino,2,1,4,13,2015/2016,1,3
Palermo,Fiorentina,1,3,16,4,2015/2016,1,4
Sassuolo,Frosinone,2,2,7,18,2015/2016,1,4
Udinese,Atalanta,2,1,15,9,2015/2016,1,3
Carpi,Udinese,2,1,19,11,2015/2016,1,3
Fiorentina,Lazio,1,3,2,10,2015/2016,1,4
Roma,AC Milan,1,1,5,7,2015/2016,1,2
Atalanta,Genoa,0,2,10,17,2015/2016,1,2
Bologna,Chievo,0,1,15,12,2015/2016,1,1
Frosinone,Napoli,1,5,18,2,2015/2016,1,6
Inter,Sassuolo,0,1,2,7,2015/2016,1,1
Sampdoria,Juventus,1,2,13,4,2015/2016,1,3
Torino,Empoli,0,1,14,8,2015/2016,1,1
Verona,Palermo,0,1,20,17,2015/2016,1,1
Atalanta,Inter,1,1,11,3,2015/2016,1,2
Napoli,Sassuolo,3,1,1,6,2015/2016,1,4
Torino,Frosinone,4,2,14,18,2015/2016,1,6
AC Milan,Fiorentina,2,0,8,4,2015/2016,1,2
Bologna,Lazio,2,2,15,9,2015/2016,1,4
Carpi,Sampdoria,2,1,19,14,2015/2016,1,3
Chievo,Empoli,1,1,10,8,2015/2016,1,2
Genoa,Palermo,4,0,17,16,2015/2016,1,4
Roma,Verona,1,1,5,20,2015/2016,1,2
Udinese,Juventus,0,4,13,3,2015/2016,1,4
Sassuolo,Torino,1,1,7,11,2015/2016,1,2
Empoli,AC Milan,2,2,8,6,2015/2016,1,4
Frosinone,Atalanta,0,0,19,12,2015/2016,1,0
Fiorentina,Torino,2,0,4,11,2015/2016,1,2
Inter,Carpi,1,1,4,18,2015/2016,1,2
Juventus,Roma,1,0,2,5,2015/2016,1,1
Lazio,Chievo,4,1,9,10,2015/2016,1,5
Palermo,Udinese,4,1,17,13,2015/2016,1,5
Sampdoria,Napoli,2,4,15,2,2015/2016,1,6
Sassuolo,Bologna,0,2,7,15,2015/2016,1,2
Verona,Genoa,1,1,20,17,2015/2016,1,2
Atalanta,Sassuolo,1,1,12,7,2015/2016,1,2
Carpi,Palermo,1,1,18,14,2015/2016,1,2
Roma,Frosinone,3,1,5,19,2015/2016,1,4
AC Milan,Inter,3,0,6,4,2015/2016,1,3
Bologna,Sampdoria,3,2,13,17,2015/2016,1,5
Chievo,Juventus,0,4,11,2,2015/2016,1,4
Genoa,Fiorentina,0,0,16,3,2015/2016,1,0
Napoli,Empoli,5,1,2,8,2015/2016,1,6
Torino,Verona,0,0,13,20,2015/2016,1,0
Udinese,Lazio,0,0,16,9,2015/2016,1,0
Sassuolo,Roma,0,2,7,5,2015/2016,1,2
Empoli,Udinese,1,1,9,15,2015/2016,1,2
Fiorentina,Carpi,2,1,3,18,2015/2016,1,3
Frosinone,Bologna,1,0,19,10,2015/2016,1,1
Inter,Chievo,1,0,5,13,2015/2016,1,1
Juventus,Genoa,1,0,2,16,2015/2016,1,1
Lazio,Napoli,0,2,9,2,2015/2016,1,2
Palermo,AC Milan,0,2,15,6,2015/2016,1,2
Sampdoria,Torino,2,2,17,11,2015/2016,1,4
Verona,Atalanta,2,1,20,12,2015/2016,1,3
Bologna,Fiorentina,1,1,10,3,2015/2016,1,2
Genoa,Lazio,0,0,16,9,2015/2016,1,0
AC Milan,Udinese,1,1,6,14,2015/2016,1,2
Atalanta,Empoli,0,0,12,8,2015/2016,1,0
Frosinone,Juventus,0,2,19,2,2015/2016,1,2
Napoli,Carpi,1,0,2,18,2015/2016,1,1
Roma,Sampdoria,2,1,5,17,2015/2016,1,3
Sassuolo,Palermo,2,2,8,16,2015/2016,1,4
Torino,Chievo,1,2,11,13,2015/2016,1,3
Verona,Inter,3,3,20,5,2015/2016,1,6
Lazio,Verona,5,2,9,20,2015/2016,1,7
Carpi,Roma,1,3,18,5,2015/2016,1,4
Chievo,Sassuolo,1,1,11,8,2015/2016,1,2
Empoli,Frosinone,1,2,9,19,2015/2016,1,3
Juventus,Napoli,1,0,2,1,2015/2016,1,1
AC Milan,Genoa,2,1,6,16,2015/2016,1,3
Fiorentina,Inter,2,1,4,5,2015/2016,1,3
Palermo,Torino,1,3,15,12,2015/2016,1,4
Sampdoria,Atalanta,0,0,17,13,2015/2016,1,0
Udinese,Bologna,0,1,14,12,2015/2016,1,1
Bologna,Juventus,0,0,10,1,2015/2016,1,0
Inter,Sampdoria,3,1,5,17,2015/2016,1,4
Verona,Chievo,3,1,20,12,2015/2016,1,4
Atalanta,Fiorentina,2,3,13,3,2015/2016,1,5
Frosinone,Lazio,0,0,18,7,2015/2016,1,0
Genoa,Udinese,2,1,16,14,2015/2016,1,3
Roma,Palermo,5,0,5,16,2015/2016,1,5
Sassuolo,Empoli,3,2,8,10,2015/2016,1,5
Torino,Carpi,0,0,11,19,2015/2016,1,0
Napoli,AC Milan,1,1,2,6,2015/2016,1,2
AC Milan,Torino,1,0,6,11,2015/2016,1,1
Empoli,Roma,1,3,10,4,2015/2016,1,4
Carpi,Atalanta,1,1,19,13,2015/2016,1,2
Chievo,Genoa,1,0,12,14,2015/2016,1,1
Juventus,Inter,2,0,1,5,2015/2016,1,2
Palermo,Bologna,0,0,16,9,2015/2016,1,0
Sampdoria,Frosinone,2,0,17,18,2015/2016,1,2
Udinese,Verona,2,0,16,20,2015/2016,1,2
Lazio,Sassuolo,0,2,8,7,2015/2016,1,2
Fiorentina,Napoli,1,1,4,2,2015/2016,1,2
Roma,Fiorentina,4,1,3,4,2015/2016,1,5
Napoli,Chievo,3,1,2,10,2015/2016,1,4
Verona,Sampdoria,0,3,20,16,2015/2016,1,3
Atalanta,Juventus,0,2,14,2,2015/2016,1,2
Bologna,Carpi,0,0,9,19,2015/2016,1,0
Frosinone,Udinese,2,0,18,15,2015/2016,1,2
Genoa,Empoli,1,0,16,11,2015/2016,1,1
Inter,Palermo,3,1,5,17,2015/2016,1,4
Sassuolo,AC Milan,2,0,7,6,2015/2016,1,2
Torino,Lazio,1,1,12,8,2015/2016,1,2
Juventus,Sassuolo,1,0,1,7,2015/2016,1,1
Empoli,Sampdoria,1,1,11,14,2015/2016,1,2
Inter,Bologna,2,1,5,9,2015/2016,1,3
Carpi,Frosinone,2,1,19,18,2015/2016,1,3
Chievo,AC Milan,0,0,11,6,2015/2016,1,0
Fiorentina,Verona,1,1,5,20,2015/2016,1,2
Genoa,Torino,3,2,14,12,2015/2016,1,5
Lazio,Atalanta,2,0,8,15,2015/2016,1,2
Palermo,Napoli,0,1,17,2,2015/2016,1,1
Udinese,Roma,1,2,16,3,2015/2016,1,3
Empoli,Palermo,0,0,11,17,2015/2016,1,0
Roma,Inter,1,1,3,5,2015/2016,1,2
AC Milan,Lazio,1,1,6,8,2015/2016,1,2
Atalanta,Bologna,2,0,15,9,2015/2016,1,2
Frosinone,Fiorentina,0,0,18,5,2015/2016,1,0
Napoli,Genoa,3,1,2,12,2015/2016,1,4
Sampdoria,Chievo,0,1,15,11,2015/2016,1,1
Sassuolo,Udinese,1,1,7,16,2015/2016,1,2
Torino,Juventus,1,4,13,2,2015/2016,1,5
Verona,Carpi,1,2,20,19,2015/2016,1,3
Carpi,Sassuolo,1,3,17,7,2015/2016,1,4
Juventus,Empoli,1,0,1,11,2015/2016,1,1
Atalanta,AC Milan,2,1,14,6,2015/2016,1,3
Chievo,Palermo,3,1,9,18,2015/2016,1,4
Fiorentina,Sampdoria,1,1,4,15,2015/2016,1,2
Genoa,Frosinone,4,0,13,19,2015/2016,1,4
Inter,Torino,1,2,5,15,2015/2016,1,3
Lazio,Roma,1,4,8,3,2015/2016,1,5
Udinese,Napoli,3,1,16,2,2015/2016,1,4
Bologna,Verona,0,1,12,20,2015/2016,1,1
AC Milan,Juventus,1,2,6,1,2015/2016,1,3
Chievo,Carpi,1,0,9,17,2015/2016,1,1
Frosinone,Inter,0,1,19,5,2015/2016,1,1
Sassuolo,Genoa,0,1,7,10,2015/2016,1,1
Empoli,Fiorentina,2,0,14,5,2015/2016,1,2
Napoli,Verona,3,0,2,20,2015/2016,1,3
Palermo,Lazio,0,3,18,9,2015/2016,1,3
Sampdoria,Udinese,2,0,16,15,2015/2016,1,2
Torino,Atalanta,2,1,13,14,2015/2016,1,3
Roma,Bologna,1,1,3,14,2015/2016,1,2
Bologna,Torino,0,1,13,11,2015/2016,1,1
Carpi,Genoa,4,1,17,11,2015/2016,1,5
Inter,Napoli,2,0,4,2,2015/2016,1,2
Atalanta,Roma,3,3,15,3,2015/2016,1,6
Fiorentina,Sassuolo,3,1,5,7,2015/2016,1,4
Juventus,Palermo,4,0,1,18,2015/2016,1,4
Lazio,Empoli,2,0,8,12,2015/2016,1,2
Sampdoria,AC Milan,0,1,15,6,2015/2016,1,1
Udinese,Chievo,0,0,16,9,2015/2016,1,0
Verona,Frosinone,1,2,20,19,2015/2016,1,3
Napoli,Bologna,6,0,2,14,2015/2016,1,6
Chievo,Frosinone,5,1,9,18,2015/2016,1,6
Empoli,Verona,1,0,12,20,2015/2016,1,1
Genoa,Inter,1,0,12,4,2015/2016,1,1
Juventus,Lazio,3,0,1,9,2015/2016,1,3
Palermo,Atalanta,2,2,19,13,2015/2016,1,4
Roma,Torino,3,2,3,11,2015/2016,1,5
Sassuolo,Sampdoria,0,0,7,15,2015/2016,1,0
Udinese,Fiorentina,2,1,16,5,2015/2016,1,3
AC Milan,Carpi,0,0,6,17,2015/2016,1,0
Inter,Udinese,3,1,4,14,2015/2016,1,4
Atalanta,Chievo,1,0,13,8,2015/2016,1,1
Bologna,Genoa,2,0,16,10,2015/2016,1,2
Fiorentina,Juventus,1,2,5,1,2015/2016,1,3
Frosinone,Palermo,0,2,18,19,2015/2016,1,2
Sampdoria,Lazio,2,1,16,9,2015/2016,1,3
Torino,Sassuolo,1,3,11,7,2015/2016,1,4
Carpi,Empoli,1,0,17,12,2015/2016,1,1
Roma,Napoli,1,0,3,2,2015/2016,1,1
Verona,AC Milan,2,1,20,6,2015/2016,1,3
Chievo,Fiorentina,0,0,8,5,2015/2016,1,0
Udinese,Torino,1,5,16,11,2015/2016,1,6
AC Milan,Frosinone,3,3,6,19,2015/2016,1,6
Empoli,Bologna,0,0,12,15,2015/2016,1,0
Juventus,Carpi,2,0,1,17,2015/2016,1,2
Lazio,Inter,2,0,9,4,2015/2016,1,2
Palermo,Sampdoria,2,0,18,15,2015/2016,1,2
Sassuolo,Verona,1,0,7,20,2015/2016,1,1
Genoa,Roma,2,3,11,3,2015/2016,1,5
Napoli,Atalanta,2,1,3,13,2015/2016,1,3
Bologna,AC Milan,0,1,14,7,2015/2016,1,1
Inter,Empoli,2,1,4,12,2015/2016,1,3
Atalanta,Udinese,1,1,13,16,2015/2016,1,2
Carpi,Lazio,1,3,17,8,2015/2016,1,4
Fiorentina,Palermo,0,0,5,18,2015/2016,1,0
Frosinone,Sassuolo,0,1,19,7,2015/2016,1,1
Roma,Chievo,3,0,3,9,2015/2016,1,3
Sampdoria,Genoa,0,3,15,11,2015/2016,1,3
Torino,Napoli,1,2,11,3,2015/2016,1,3
Verona,Juventus,2,1,20,1,2015/2016,1,3
AC Milan,Roma,1,3,7,3,2015/2016,1,4
Juventus,Sampdoria,5,0,1,15,2015/2016,1,5
Napoli,Frosinone,4,0,3,19,2015/2016,1,4
Sassuolo,Inter,3,1,6,4,2015/2016,1,4
Chievo,Bologna,0,0,9,14,2015/2016,1,0
Empoli,Torino,2,1,12,11,2015/2016,1,3
Genoa,Atalanta,1,2,10,13,2015/2016,1,3
Lazio,Fiorentina,2,4,8,5,2015/2016,1,6
Palermo,Verona,3,2,17,20,2015/2016,1,5
Udinese,Carpi,1,2,16,18,2015/2016,1,3
Juventus,Fiorentina,2,1,11,8,2016/2017,1,3
Roma,Udinese,4,0,15,19,2016/2017,1,4
AC Milan,Torino,3,2,3,18,2016/2017,1,5
Atalanta,Lazio,3,4,4,12,2016/2017,1,7
Bologna,Crotone,1,0,5,8,2016/2017,1,1
Chievo,Inter,2,0,7,10,2016/2017,1,2
Empoli,Sampdoria,0,1,8,13,2016/2017,1,1
Genoa,Cagliari,3,1,9,8,2016/2017,1,4
Palermo,Sassuolo,0,1,10,12,2016/2017,1,1
Pescara,Napoli,2,2,11,10,2016/2017,1,4
Lazio,Juventus,0,1,7,6,2016/2017,1,1
Napoli,AC Milan,4,2,10,5,2016/2017,1,6
Cagliari,Roma,2,2,18,3,2016/2017,1,4
Crotone,Genoa,1,3,14,5,2016/2017,1,4
Fiorentina,Chievo,1,0,15,5,2016/2017,1,1
Inter,Palermo,1,1,18,16,2016/2017,1,2
Sampdoria,Atalanta,2,1,7,16,2016/2017,1,3
Sassuolo,Pescara,2,1,8,12,2016/2017,1,3
Torino,Bologna,5,1,17,7,2016/2017,1,6
Udinese,Empoli,2,0,20,17,2016/2017,1,2
Juventus,Sassuolo,3,1,2,4,2016/2017,1,4
Palermo,Napoli,0,3,14,6,2016/2017,1,3
AC Milan,Udinese,0,1,11,12,2016/2017,1,1
Atalanta,Torino,2,1,18,8,2016/2017,1,3
Bologna,Cagliari,2,1,14,16,2016/2017,1,3
Chievo,Lazio,1,1,10,12,2016/2017,1,2
Pescara,Inter,1,2,15,16,2016/2017,1,3
Roma,Sampdoria,3,2,8,4,2016/2017,1,5
Empoli,Crotone,2,1,20,19,2016/2017,1,3
Sampdoria,AC Milan,0,1,5,15,2016/2017,1,1
Lazio,Pescara,3,0,11,17,2016/2017,1,3
Napoli,Bologna,3,1,2,10,2016/2017,1,4
Cagliari,Atalanta,3,0,17,15,2016/2017,1,3
Crotone,Palermo,1,1,20,18,2016/2017,1,2
Fiorentina,Roma,1,0,15,3,2016/2017,1,1
Inter,Juventus,2,1,14,2,2016/2017,1,3
Sassuolo,Genoa,2,0,9,6,2016/2017,1,2
Torino,Empoli,0,0,15,16,2016/2017,1,0
Udinese,Chievo,1,2,11,14,2016/2017,1,3
AC Milan,Lazio,2,0,11,5,2016/2017,1,2
Atalanta,Palermo,0,1,17,18,2016/2017,1,1
Bologna,Sampdoria,2,0,13,11,2016/2017,1,2
Chievo,Sassuolo,2,1,7,3,2016/2017,1,3
Empoli,Inter,0,2,17,9,2016/2017,1,2
Genoa,Napoli,0,0,10,1,2016/2017,1,0
Juventus,Cagliari,4,0,4,16,2016/2017,1,4
Pescara,Torino,0,0,20,15,2016/2017,1,0
Roma,Crotone,4,0,8,20,2016/2017,1,4
Udinese,Fiorentina,2,2,13,11,2016/2017,1,4
Napoli,Chievo,2,0,2,4,2016/2017,1,2
Palermo,Juventus,0,1,15,2,2016/2017,1,1
Fiorentina,AC Milan,0,0,10,6,2016/2017,1,0
Genoa,Pescara,1,1,10,19,2016/2017,1,2
Inter,Bologna,1,1,4,8,2016/2017,1,2
Lazio,Empoli,2,0,11,17,2016/2017,1,2
Sassuolo,Udinese,1,0,9,12,2016/2017,1,1
Torino,Roma,3,1,14,5,2016/2017,1,4
Cagliari,Sampdoria,2,1,16,14,2016/2017,1,3
Crotone,Atalanta,1,3,20,18,2016/2017,1,4
Pescara,Chievo,0,2,19,8,2016/2017,1,2
Udinese,Lazio,0,3,14,7,2016/2017,1,3
AC Milan,Sassuolo,4,3,8,5,2016/2017,1,7
Atalanta,Napoli,1,0,15,2,2016/2017,1,1
Bologna,Genoa,0,1,9,12,2016/2017,1,1
Cagliari,Crotone,2,1,14,20,2016/2017,1,3
Empoli,Juventus,0,3,18,1,2016/2017,1,3
Roma,Inter,2,1,9,8,2016/2017,1,3
Sampdoria,Palermo,1,1,16,17,2016/2017,1,2
Torino,Fiorentina,2,1,13,14,2016/2017,1,3
Juventus,Udinese,2,1,1,16,2016/2017,1,3
Napoli,Roma,1,3,2,3,2016/2017,1,4
Pescara,Sampdoria,1,1,19,15,2016/2017,1,2
Chievo,AC Milan,1,3,5,6,2016/2017,1,4
Fiorentina,Atalanta,0,0,14,13,2016/2017,1,0
Genoa,Empoli,0,0,9,19,2016/2017,1,0
Inter,Cagliari,1,2,10,12,2016/2017,1,3
Lazio,Bologna,1,1,5,13,2016/2017,1,2
Sassuolo,Crotone,2,1,9,20,2016/2017,1,3
Palermo,Torino,1,4,17,10,2016/2017,1,5
AC Milan,Juventus,1,0,3,1,2016/2017,1,1
Sampdoria,Genoa,2,1,15,10,2016/2017,1,3
Atalanta,Inter,2,1,14,11,2016/2017,1,3
Bologna,Sassuolo,1,1,14,4,2016/2017,1,2
Crotone,Napoli,1,2,20,7,2016/2017,1,3
Empoli,Chievo,0,0,18,8,2016/2017,1,0
Roma,Palermo,4,1,4,17,2016/2017,1,5
Torino,Lazio,2,2,6,7,2016/2017,1,4
Udinese,Pescara,3,1,16,19,2016/2017,1,4
Genoa,AC Milan,3,0,12,3,2016/2017,1,3
Chievo,Bologna,1,1,9,13,2016/2017,1,2
Fiorentina,Crotone,1,1,13,20,2016/2017,1,2
Inter,Torino,2,1,14,6,2016/2017,1,3
Juventus,Sampdoria,4,1,1,15,2016/2017,1,5
Lazio,Cagliari,4,1,7,14,2016/2017,1,5
Napoli,Empoli,2,0,5,17,2016/2017,1,2
Pescara,Atalanta,0,1,19,12,2016/2017,1,1
Sassuolo,Roma,1,3,6,3,2016/2017,1,4
Palermo,Udinese,1,3,17,16,2016/2017,1,4
Bologna,Fiorentina,0,1,13,12,2016/2017,1,1
Juventus,Napoli,2,1,1,3,2016/2017,1,3
AC Milan,Pescara,1,0,4,19,2016/2017,1,1
Atalanta,Genoa,3,0,7,10,2016/2017,1,3
Crotone,Chievo,2,0,20,11,2016/2017,1,2
Empoli,Roma,0,0,17,2,2016/2017,1,0
Lazio,Sassuolo,2,1,6,8,2016/2017,1,3
Sampdoria,Inter,1,0,16,12,2016/2017,1,1
Udinese,Torino,2,2,14,9,2016/2017,1,4
Cagliari,Palermo,2,1,16,18,2016/2017,1,3
Napoli,Lazio,1,1,5,4,2016/2017,1,2
Torino,Cagliari,5,1,7,10,2016/2017,1,6
Chievo,Juventus,1,2,12,1,2016/2017,1,3
Fiorentina,Sampdoria,1,1,8,15,2016/2017,1,2
Genoa,Udinese,1,1,11,15,2016/2017,1,2
Inter,Crotone,3,0,15,19,2016/2017,1,3
Palermo,AC Milan,1,2,18,4,2016/2017,1,3
Pescara,Empoli,0,4,20,17,2016/2017,1,4
Roma,Bologna,3,0,3,16,2016/2017,1,3
Sassuolo,Atalanta,0,3,11,7,2016/2017,1,3
Chievo,Cagliari,1,0,13,12,2016/2017,1,1
Juventus,Pescara,3,0,1,20,2016/2017,1,3
Udinese,Napoli,1,2,14,6,2016/2017,1,3
AC Milan,Inter,2,2,3,10,2016/2017,1,4
Atalanta,Roma,2,1,6,2,2016/2017,1,3
Bologna,Palermo,3,1,16,18,2016/2017,1,4
Crotone,Torino,0,2,19,7,2016/2017,1,2
Empoli,Fiorentina,0,4,17,10,2016/2017,1,4
Lazio,Genoa,3,1,7,11,2016/2017,1,4
Sampdoria,Sassuolo,3,2,15,12,2016/2017,1,5
Empoli,AC Milan,1,4,17,3,2016/2017,1,5
Torino,Chievo,2,1,7,10,2016/2017,1,3
Bologna,Atalanta,0,2,13,6,2016/2017,1,2
Cagliari,Udinese,2,1,15,16,2016/2017,1,3
Crotone,Sampdoria,1,1,19,12,2016/2017,1,2
Genoa,Juventus,3,1,13,1,2016/2017,1,4
Palermo,Lazio,0,1,19,6,2016/2017,1,1
Roma,Pescara,3,2,5,20,2016/2017,1,5
Napoli,Sassuolo,1,1,7,14,2016/2017,1,2
Inter,Fiorentina,4,2,12,8,2016/2017,1,6
Napoli,Inter,3,0,7,8,2016/2017,1,3
Juventus,Atalanta,3,1,1,6,2016/2017,1,4
AC Milan,Crotone,2,1,3,18,2016/2017,1,3
Fiorentina,Palermo,2,1,9,19,2016/2017,1,3
Lazio,Roma,0,2,4,3,2016/2017,1,2
Pescara,Cagliari,1,1,20,12,2016/2017,1,2
Sampdoria,Torino,2,0,12,7,2016/2017,1,2
Sassuolo,Empoli,3,0,14,17,2016/2017,1,3
Chievo,Genoa,0,0,14,13,2016/2017,1,0
Udinese,Bologna,1,0,16,15,2016/2017,1,1
Crotone,Pescara,2,1,18,20,2016/2017,1,3
Sampdoria,Lazio,1,2,9,5,2016/2017,1,3
Atalanta,Udinese,1,3,6,15,2016/2017,1,4
Bologna,Empoli,0,0,16,17,2016/2017,1,0
Cagliari,Napoli,0,5,14,5,2016/2017,1,5
Inter,Genoa,2,0,10,12,2016/2017,1,2
Palermo,Chievo,0,2,19,15,2016/2017,1,2
Torino,Juventus,1,3,7,1,2016/2017,1,4
Fiorentina,Sassuolo,2,1,9,14,2016/2017,1,3
Roma,AC Milan,1,0,2,3,2016/2017,1,1
Genoa,Fiorentina,1,0,13,7,2016/2017,1,1
AC Milan,Atalanta,0,0,3,6,2016/2017,1,0
Empoli,Cagliari,2,0,17,15,2016/2017,1,2
Juventus,Roma,1,0,1,2,2016/2017,1,1
Chievo,Sampdoria,2,1,11,12,2016/2017,1,3
Genoa,Palermo,3,4,11,19,2016/2017,1,7
Lazio,Fiorentina,3,1,5,7,2016/2017,1,4
Pescara,Bologna,0,3,20,16,2016/2017,1,3
Sassuolo,Inter,0,1,14,10,2016/2017,1,1
Udinese,Crotone,2,0,13,18,2016/2017,1,2
Atalanta,Empoli,2,1,6,17,2016/2017,1,3
Inter,Lazio,3,0,7,4,2016/2017,1,3
Cagliari,Sassuolo,4,3,16,14,2016/2017,1,7
Fiorentina,Napoli,3,3,8,3,2016/2017,1,6
Palermo,Pescara,1,1,19,20,2016/2017,1,2
Roma,Chievo,3,1,3,10,2016/2017,1,4
Sampdoria,Udinese,0,0,14,11,2016/2017,1,0
Torino,Genoa,1,0,9,12,2016/2017,1,1
Empoli,Palermo,1,0,17,18,2016/2017,1,1
Napoli,Sampdoria,2,1,3,13,2016/2017,1,3
AC Milan,Cagliari,1,0,5,14,2016/2017,1,1
Chievo,Atalanta,1,4,11,6,2016/2017,1,5
Genoa,Roma,0,1,12,2,2016/2017,1,1
Juventus,Bologna,3,0,1,15,2016/2017,1,3
Lazio,Crotone,1,0,6,19,2016/2017,1,1
Sassuolo,Torino,0,0,15,8,2016/2017,1,0
Udinese,Inter,1,2,10,7,2016/2017,1,3
Crotone,Bologna,0,1,19,16,2016/2017,1,1
Inter,Chievo,3,1,7,11,2016/2017,1,4
Cagliari,Genoa,4,1,15,12,2016/2017,1,5
Fiorentina,Juventus,2,1,9,1,2016/2017,1,3
Lazio,Atalanta,2,1,4,7,2016/2017,1,3
Napoli,Pescara,3,1,4,20,2016/2017,1,4
Sampdoria,Empoli,0,0,13,17,2016/2017,1,0
Sassuolo,Palermo,4,1,16,18,2016/2017,1,5
Udinese,Roma,0,1,11,3,2016/2017,1,1
Torino,AC Milan,2,2,9,6,2016/2017,1,4
AC Milan,Napoli,1,2,5,3,2016/2017,1,3
Chievo,Fiorentina,0,3,12,9,2016/2017,1,3
Atalanta,Sampdoria,1,0,7,14,2016/2017,1,1
Bologna,Torino,2,0,16,9,2016/2017,1,2
Empoli,Udinese,1,0,17,12,2016/2017,1,1
Genoa,Crotone,2,2,16,19,2016/2017,1,4
Juventus,Lazio,2,0,1,4,2016/2017,1,2
Palermo,Inter,0,1,19,7,2016/2017,1,1
Pescara,Sassuolo,1,3,20,14,2016/2017,1,4
Roma,Cagliari,1,0,3,12,2016/2017,1,1
Inter,Pescara,3,0,5,20,2016/2017,1,3
Lazio,Chievo,0,1,5,14,2016/2017,1,1
Cagliari,Bologna,1,1,13,12,2016/2017,1,2
Crotone,Empoli,4,1,18,17,2016/2017,1,5
