Unnamed: 0,home_team,away_team,date,league,season,home_score,away_score,home_xg,away_xg,datetime,home_standings,away_standings,home_points,away_points,home_points_last_4_matches,away_points_last_4_matches,home_points_last_2_home_matches,away_points_last_2_away_matches,home_goals_last_4_matches,away_goals_last_4_matches,home_goals_last_2_home_matches,away_goals_last_2_away_matches,home_goals_against_last_4_matches,away_goals_against_last_4_matches,home_goals_against_last_2_home_matches,away_goals_against_last_2_away_matches,home_mean_xg_last_4_matches,away_mean_xg_last_4_matches,home_mean_xg_last_2_home_matches,away_mean_xg_last_2_away_matches,home_mean_xg_against_last_4_matches,away_mean_xg_against_last_4_matches,home_mean_xg_against_last_2_home_matches,away_mean_xg_against_last_2_away_matches,home_formation,away_formation,home_defense_rating,away_defense_rating,home_midfield_rating,away_midfield_rating,home_attack_rating,away_attack_rating,home_defense_rating_last_4_matches,away_defense_rating_last_4_matches,home_defense_rating_last_2_home_matches,away_defense_rating_last_2_away_matches,home_midfield_rating_last_4_matches,away_midfield_rating_last_4_matches,home_midfield_rating_last_2_home_matches,away_midfield_rating_last_2_away_matches,home_attack_rating_last_4_matches,away_attack_rating_last_4_matches,home_attack_rating_last_2_home_matches,away_attack_rating_last_2_away_matches
166,Verona,Palermo,September 15 2014,Serie A,2014/2015,2,1,2.1,1.39,2014-09-15,13,12,1,1,,,,,,,,,,,,,,,,,,,,,0,1,6.786,6.396666666666667,7.330000000000001,7.4675,6.673333333333333,6.68,,,,,,,,,,,,
170,AC Milan,Juventus,September 20 2014,Serie A,2014/2015,0,1,0.28,1.44,2014-09-20,1,2,6,6,,,,,,,,,,,,,,,,,,,,,0,3,7.056,7.0183333333333335,6.8500000000000005,7.646666666666667,6.48,7.285,,,,,,,,,,,,
176,Cesena,Empoli,September 20 2014,Serie A,2014/2015,2,2,2.04,2.58,2014-09-20,12,20,3,0,,,,,,,,,,,,,,,,,,,,,0,2,6.609999999999999,6.792,6.876666666666666,6.954999999999999,7.516666666666667,6.67,,,,,,,,,,,,
193,Atalanta,Fiorentina,September 21 2014,Serie A,2014/2015,0,1,1.15,1.03,2014-09-21,6,16,4,1,,,,,,,,,,,,,,,,,,,,,0,3,6.76,7.395,6.545999999999999,7.196666666666666,6.09,6.725,,,,,,,,,,,,
194,Chievo,Parma Calcio 1913,September 21 2014,Serie A,2014/2015,2,3,1.35,0.93,2014-09-21,11,20,3,0,,,,,,,,,,,,,,,,,,,,,0,0,6.318,6.458,6.876,6.346666666666667,6.53,7.223333333333334,,,,,,,,,,,,
198,Genoa,Lazio,September 21 2014,Serie A,2014/2015,1,0,1.19,1.97,2014-09-21,16,10,1,3,,,,,,,,,,,,,,,,,,,,,1,0,7.505,7.053999999999999,7.075,6.8133333333333335,6.863333333333333,6.919999999999999,,,,,,,,,,,,
205,Palermo,Inter,September 21 2014,Serie A,2014/2015,1,1,0.58,0.48,2014-09-21,17,4,1,4,,,,,,,,,,,,,,,,,,,,,3,3,6.539999999999999,6.55,6.756666666666667,7.453333333333333,6.62,6.12,,,,,,,,,,,,
208,Roma,Cagliari,September 21 2014,Serie A,2014/2015,2,0,1.52,0.49,2014-09-21,2,17,6,1,,,,,,,,,,,,,,,,,,,,,0,0,7.108,6.368,6.996666666666667,6.326666666666665,7.57,6.123333333333334,,,,,,,,,,,,
209,Sassuolo,Sampdoria,September 21 2014,Serie A,2014/2015,0,0,0.66,0.65,2014-09-21,20,5,1,4,,,,,,,,,,,,,,,,,,,,,0,0,7.292,7.247999999999999,7.293333333333333,6.733333333333334,6.7,6.4433333333333325,,,,,,,,,,,,
210,Torino,Verona,September 21 2014,Serie A,2014/2015,0,1,2.62,1.22,2014-09-21,18,6,1,4,,,,,,,,,,,,,,,,,,,,,3,0,6.521666666666666,7.494,6.256666666666667,6.926666666666667,5.995,6.873333333333334,,,,,,,,,,,,
212,Udinese,Napoli,September 21 2014,Serie A,2014/2015,1,0,0.69,0.44,2014-09-21,13,12,3,3,,,,,,,,,,,,,,,,,,,,,0,0,7.576,6.578,7.008,6.986666666666667,6.3,6.38,,,,,,,,,,,,
219,Empoli,AC Milan,September 23 2014,Serie A,2014/2015,2,2,2.03,0.58,2014-09-23,19,4,1,6,,,,,,,,,,,,,,,,,,,,,2,0,7.040000000000001,7.074000000000001,6.8,6.423333333333333,7.24,7.863333333333333,,,,,,,,,,,,
230,Cagliari,Torino,September 24 2014,Serie A,2014/2015,1,2,0.78,1.3,2014-09-24,19,20,1,1,,,,,,,,,,,,,,,,,,,,,0,1,6.454000000000001,7.203333333333334,6.5633333333333335,7.27,6.903333333333333,7.66,,,,,,,,,,,,
233,Fiorentina,Sassuolo,September 24 2014,Serie A,2014/2015,0,0,1.05,0.16,2014-09-24,10,19,4,2,,,,,,,,,,,,,,,,,,,,,0,0,7.62,7.064,7.233333333333333,6.906666666666666,6.866666666666667,6.236666666666667,,,,,,,,,,,,
238,Inter,Atalanta,September 24 2014,Serie A,2014/2015,2,0,1.81,0.42,2014-09-24,6,9,5,4,,,,,,,,,,,,,,,,,,,,,3,0,7.318333333333332,6.418000000000001,7.523333333333333,6.476000000000001,6.425,6.21,,,,,,,,,,,,
239,Juventus,Cesena,September 24 2014,Serie A,2014/2015,3,0,2.23,0.01,2014-09-24,2,11,9,4,,,,,,,,,,,,,,,,,,,,,3,1,7.573333333333333,6.181666666666668,7.88,6.04,7.504999999999999,6.33,,,,,,,,,,,,
