A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals,match_id,delta_score,delta_standings
Torino,Palermo,3,1,10,18,2016/2017,1,4,1021,2,-8
Udinese,Juventus,1,1,14,1,2016/2017,1,2,1022,0,13
Juventus,AC Milan,2,1,1,7,2016/2017,1,3,1023,1,-6
Genoa,Sampdoria,0,1,15,10,2016/2017,1,1,1024,-1,5
Chievo,Empoli,4,0,11,17,2016/2017,1,4,1025,4,-6
Fiorentina,Cagliari,1,0,8,13,2016/2017,1,1,1026,1,-5
Napoli,Crotone,3,0,3,19,2016/2017,1,3,1027,3,-16
Palermo,Roma,0,3,18,3,2016/2017,1,3,1028,-3,15
Pescara,Udinese,1,3,20,14,2016/2017,1,4,1029,-2,6
Sassuolo,Bologna,0,1,12,16,2016/2017,1,1,1030,-1,-4
Lazio,Torino,3,1,5,10,2016/2017,1,4,1031,2,-5
AC Milan,Genoa,1,0,7,16,2016/2017,1,1,1032,1,-9
Torino,Inter,2,2,10,5,2016/2017,1,4,1033,0,5
Atalanta,Pescara,3,0,7,20,2016/2017,1,3,1034,3,-13
Bologna,Chievo,4,1,14,11,2016/2017,1,5,1035,3,3
Cagliari,Lazio,0,0,15,4,2016/2017,1,0,1036,0,11
Crotone,Fiorentina,0,1,19,8,2016/2017,1,1,1037,-1,11
Empoli,Napoli,2,3,17,3,2016/2017,1,5,1038,-1,14
Roma,Sassuolo,3,1,3,12,2016/2017,1,4,1039,2,-9
Sampdoria,Juventus,0,1,9,1,2016/2017,1,1,1040,-1,8
Udinese,Palermo,4,1,14,18,2016/2017,1,5,1041,3,-4
Roma,Empoli,2,0,2,17,2016/2017,1,2,1042,2,-15
Sassuolo,Lazio,1,2,13,4,2016/2017,1,3,1043,-1,9
Chievo,Crotone,1,2,11,19,2016/2017,1,3,1044,-1,-8
Fiorentina,Bologna,1,0,8,14,2016/2017,1,1,1045,1,-6
Genoa,Atalanta,0,5,16,6,2016/2017,1,5,1046,-5,10
Napoli,Juventus,1,1,3,1,2016/2017,1,2,1047,0,2
Palermo,Cagliari,1,3,19,15,2016/2017,1,4,1048,-2,4
Pescara,AC Milan,1,1,20,7,2016/2017,1,2,1049,0,13
Torino,Udinese,2,2,10,12,2016/2017,1,4,1050,0,-2
Inter,Sampdoria,1,2,6,10,2016/2017,1,3,1051,-1,-4
Atalanta,Sassuolo,1,1,5,14,2016/2017,1,2,1052,0,-9
Empoli,Pescara,1,1,17,20,2016/2017,1,2,1053,0,-3
Juventus,Chievo,2,0,1,11,2016/2017,1,2,1054,2,-10
AC Milan,Palermo,4,0,7,19,2016/2017,1,4,1055,4,-12
Bologna,Roma,0,3,15,2,2016/2017,1,3,1056,-3,13
Cagliari,Torino,2,3,14,10,2016/2017,1,5,1057,-1,4
Crotone,Inter,2,1,18,7,2016/2017,1,3,1058,1,11
Lazio,Napoli,0,3,4,3,2016/2017,1,3,1059,-3,1
Sampdoria,Fiorentina,2,2,10,8,2016/2017,1,4,1060,0,2
Udinese,Genoa,3,0,12,16,2016/2017,1,3,1061,3,-4
Cagliari,Chievo,4,0,14,12,2016/2017,1,4,1062,4,2
Fiorentina,Empoli,1,2,8,17,2016/2017,1,3,1063,-1,-9
Genoa,Lazio,2,2,16,4,2016/2017,1,4,1064,0,12
Inter,AC Milan,2,2,7,6,2016/2017,1,4,1065,0,1
Napoli,Udinese,3,0,3,11,2016/2017,1,3,1066,3,-8
Palermo,Bologna,0,0,19,15,2016/2017,1,0,1067,0,4
Pescara,Juventus,0,2,20,1,2016/2017,1,2,1068,-2,19
Roma,Atalanta,1,1,2,5,2016/2017,1,2,1069,0,-3
Sassuolo,Sampdoria,2,1,14,9,2016/2017,1,3,1070,1,5
Torino,Crotone,1,1,10,18,2016/2017,1,2,1071,0,-8
Atalanta,Bologna,3,2,5,15,2016/2017,1,5,1072,1,-10
AC Milan,Empoli,1,2,6,17,2016/2017,1,3,1073,-1,-11
Chievo,Torino,1,3,13,9,2016/2017,1,4,1074,-2,4
Juventus,Genoa,4,0,1,16,2016/2017,1,4,1075,4,-15
Sampdoria,Crotone,1,2,10,18,2016/2017,1,3,1076,-1,-8
Sassuolo,Napoli,2,2,12,3,2016/2017,1,4,1077,0,9
Udinese,Cagliari,2,1,11,14,2016/2017,1,3,1078,1,-3
Pescara,Roma,1,4,20,2,2016/2017,1,5,1079,-3,18
Atalanta,Juventus,2,2,5,1,2016/2017,1,4,1080,0,4
Torino,Sampdoria,1,1,9,10,2016/2017,1,2,1081,0,-1
Bologna,Udinese,4,0,15,11,2016/2017,1,4,1082,4,4
Cagliari,Pescara,1,0,15,20,2016/2017,1,1,1083,1,-5
Crotone,AC Milan,1,1,18,6,2016/2017,1,2,1084,0,12
Empoli,Sassuolo,1,3,17,13,2016/2017,1,4,1085,-2,4
Genoa,Chievo,1,2,16,15,2016/2017,1,3,1086,-1,1
Inter,Napoli,0,1,7,3,2016/2017,1,1,1087,-1,4
Palermo,Fiorentina,2,0,19,8,2016/2017,1,2,1088,2,11
Roma,Lazio,1,3,2,4,2016/2017,1,4,1089,-2,-2
Juventus,Torino,1,1,1,9,2016/2017,1,2,1090,0,-8
Napoli,Cagliari,3,1,3,14,2016/2017,1,4,1091,2,-11
AC Milan,Roma,1,4,6,3,2016/2017,1,5,1092,-3,3
Chievo,Palermo,1,1,13,19,2016/2017,1,2,1093,0,-6
Empoli,Bologna,3,1,17,15,2016/2017,1,4,1094,2,2
Genoa,Inter,1,0,17,7,2016/2017,1,1,1095,1,10
Pescara,Crotone,0,1,20,18,2016/2017,1,1,1096,-1,2
Sassuolo,Fiorentina,2,2,12,8,2016/2017,1,4,1097,0,4
Udinese,Atalanta,1,1,12,5,2016/2017,1,2,1098,0,7
Atalanta,AC Milan,1,1,5,6,2016/2017,1,2,1099,0,-1
Fiorentina,Lazio,3,2,8,4,2016/2017,1,5,1100,1,4
Bologna,Pescara,3,1,15,20,2016/2017,1,4,1101,2,-5
Cagliari,Empoli,3,2,15,17,2016/2017,1,5,1102,1,-2
Crotone,Udinese,1,0,18,11,2016/2017,1,1,1103,1,7
Inter,Sassuolo,1,2,8,13,2016/2017,1,3,1104,-1,-5
Palermo,Genoa,1,0,19,16,2016/2017,1,1,1105,1,3
Roma,Juventus,3,1,2,1,2016/2017,1,4,1106,2,1
Sampdoria,Chievo,1,1,11,14,2016/2017,1,2,1107,0,-3
Torino,Napoli,0,5,9,3,2016/2017,1,5,1108,-5,6
Napoli,Fiorentina,4,1,3,7,2016/2017,1,5,1109,3,-4
AC Milan,Bologna,3,0,6,15,2016/2017,1,3,1110,3,-9
Empoli,Atalanta,0,1,17,5,2016/2017,1,1,1111,-1,12
Genoa,Torino,2,1,16,9,2016/2017,1,3,1112,1,7
Juventus,Crotone,3,0,1,18,2016/2017,1,3,1113,3,-17
Lazio,Inter,1,3,4,8,2016/2017,1,4,1114,-2,-4
Udinese,Sampdoria,1,1,12,11,2016/2017,1,2,1115,0,1
Pescara,Palermo,2,0,20,19,2016/2017,1,2,1116,2,1
Atalanta,Chievo,1,0,5,14,2016/2017,1,1,1117,1,-9
Bologna,Juventus,1,2,15,1,2016/2017,1,3,1118,-1,14
Cagliari,AC Milan,2,1,13,6,2016/2017,1,3,1119,1,7
Crotone,Lazio,3,1,18,5,2016/2017,1,4,1120,2,13
Fiorentina,Pescara,2,2,8,20,2016/2017,1,4,1121,0,-12
Inter,Udinese,5,2,8,13,2016/2017,1,7,1122,3,-5
Palermo,Empoli,2,1,19,18,2016/2017,1,3,1123,1,1
Roma,Genoa,3,2,2,16,2016/2017,1,5,1124,1,-14
Sampdoria,Napoli,2,4,11,3,2016/2017,1,6,1125,-2,8
Juventus,Cagliari,3,0,11,5,2017/2018,1,3,1126,3,6
Verona,Napoli,1,3,19,12,2017/2018,1,4,1127,-2,7
Atalanta,Roma,0,1,4,13,2017/2018,1,1,1128,-1,-9
Bologna,Torino,1,1,6,16,2017/2018,1,2,1129,0,-10
Crotone,AC Milan,0,3,9,6,2017/2018,1,3,1130,-3,3
Inter,Fiorentina,3,0,11,9,2017/2018,1,3,1131,3,2
Lazio,SPAL 2013,0,0,11,12,2017/2018,1,0,1132,0,-1
Sampdoria,Benevento,2,1,13,10,2017/2018,1,3,1133,1,3
Sassuolo,Genoa,0,0,13,12,2017/2018,1,0,1134,0,1
Udinese,Chievo,1,2,14,13,2017/2018,1,3,1135,-1,1
Benevento,Bologna,0,1,15,8,2017/2018,1,1,1136,-1,7
Genoa,Juventus,2,4,9,4,2017/2018,1,6,1137,-2,5
Roma,Inter,1,3,7,4,2017/2018,1,4,1138,-2,3
AC Milan,Cagliari,2,1,4,18,2017/2018,1,3,1139,1,-14
Chievo,Lazio,1,2,6,9,2017/2018,1,3,1140,-1,-3
Crotone,Verona,0,0,18,17,2017/2018,1,0,1141,0,1
Fiorentina,Sampdoria,1,2,19,7,2017/2018,1,3,1142,-1,12
Napoli,Atalanta,3,1,7,16,2017/2018,1,4,1143,2,-9
SPAL 2013,Udinese,3,2,10,16,2017/2018,1,5,1144,1,-6
Torino,Sassuolo,3,0,12,11,2017/2018,1,3,1145,3,1
Juventus,Chievo,3,0,2,10,2017/2018,1,3,1146,3,-8
Atalanta,Sassuolo,2,1,18,15,2017/2018,1,3,1147,1,3
Benevento,Torino,0,1,17,6,2017/2018,1,1,1148,-1,11
Bologna,Napoli,0,3,7,5,2017/2018,1,3,1149,-3,2
Cagliari,Crotone,1,0,19,15,2017/2018,1,1,1150,1,4
Inter,SPAL 2013,2,0,4,8,2017/2018,1,2,1151,2,-4
Lazio,AC Milan,4,1,7,5,2017/2018,1,5,1152,3,2
Udinese,Genoa,1,0,18,14,2017/2018,1,1,1153,1,4
Verona,Fiorentina,0,5,15,20,2017/2018,1,5,1154,-5,-5
Crotone,Inter,0,2,17,2,2017/2018,1,2,1155,-2,15
Fiorentina,Bologna,2,1,10,9,2017/2018,1,3,1156,1,1
Roma,Verona,3,0,11,19,2017/2018,1,3,1157,3,-8
AC Milan,Udinese,2,1,9,12,2017/2018,1,3,1158,1,-3
Chievo,Atalanta,1,1,15,12,2017/2018,1,2,1159,0,3
Genoa,Lazio,2,3,16,5,2017/2018,1,5,1160,-1,11
Napoli,Benevento,6,0,4,20,2017/2018,1,6,1161,6,-16
SPAL 2013,Cagliari,0,2,10,15,2017/2018,1,2,1162,-2,-5
Sassuolo,Juventus,1,3,17,4,2017/2018,1,4,1163,-2,13
Torino,Sampdoria,2,2,6,9,2017/2018,1,4,1164,0,-3
Bologna,Inter,1,1,12,3,2017/2018,1,2,1165,0,9
AC Milan,SPAL 2013,2,0,5,14,2017/2018,1,2,1166,2,-9
Atalanta,Crotone,5,1,12,17,2017/2018,1,6,1167,4,-5
Benevento,Roma,0,4,20,10,2017/2018,1,4,1168,-4,10
Cagliari,Sassuolo,0,1,11,17,2017/2018,1,1,1169,-1,-6
Genoa,Chievo,1,1,17,13,2017/2018,1,2,1170,0,4
Juventus,Fiorentina,1,0,3,10,2017/2018,1,1,1171,1,-7
Lazio,Napoli,1,4,5,3,2017/2018,1,5,1172,-3,2
Udinese,Torino,2,3,16,7,2017/2018,1,5,1173,-1,9
Verona,Sampdoria,0,0,19,9,2017/2018,1,0,1174,0,10
Juventus,Torino,4,0,2,5,2017/2018,1,4,1175,4,-3
Roma,Udinese,3,1,7,16,2017/2018,1,4,1176,2,-9
SPAL 2013,Napoli,2,3,14,2,2017/2018,1,5,1177,-1,12
Cagliari,Chievo,0,2,11,13,2017/2018,1,2,1178,-2,-2
Crotone,Benevento,2,0,19,20,2017/2018,1,2,1179,2,-1
Fiorentina,Atalanta,1,1,11,10,2017/2018,1,2,1180,0,1
Inter,Genoa,1,0,3,18,2017/2018,1,1,1181,1,-15
Sampdoria,AC Milan,2,0,9,5,2017/2018,1,2,1182,2,4
Sassuolo,Bologna,0,1,14,13,2017/2018,1,1,1183,-1,1
Verona,Lazio,0,3,19,8,2017/2018,1,3,1184,-3,11
Genoa,Bologna,0,1,18,11,2017/2018,1,1,1185,-1,7
Udinese,Sampdoria,4,0,17,7,2017/2018,1,4,1186,4,10
AC Milan,Roma,0,2,6,5,2017/2018,1,2,1187,-2,1
Atalanta,Juventus,2,2,10,2,2017/2018,1,4,1188,0,8
Benevento,Inter,1,2,20,3,2017/2018,1,3,1189,-1,17
Chievo,Fiorentina,2,1,11,12,2017/2018,1,3,1190,1,-1
Lazio,Sassuolo,6,1,5,16,2017/2018,1,7,1191,5,-11
Napoli,Cagliari,3,0,3,14,2017/2018,1,3,1192,3,-11
SPAL 2013,Crotone,1,1,15,16,2017/2018,1,2,1193,0,-1
Torino,Verona,2,2,7,19,2017/2018,1,4,1194,0,-12
Juventus,Lazio,1,2,2,4,2017/2018,1,3,1195,-1,-2
Roma,Napoli,0,1,5,1,2017/2018,1,1,1196,-1,4
Bologna,SPAL 2013,2,1,10,15,2017/2018,1,3,1197,1,-5
Cagliari,Genoa,2,3,14,19,2017/2018,1,5,1198,-1,-5
Crotone,Torino,2,2,17,7,2017/2018,1,4,1199,0,10
Fiorentina,Udinese,2,1,12,13,2017/2018,1,3,1200,1,-1
Inter,AC Milan,3,2,3,8,2017/2018,1,5,1201,1,-5
Sampdoria,Atalanta,3,1,10,12,2017/2018,1,4,1202,2,-2
Sassuolo,Chievo,0,0,18,10,2017/2018,1,0,1203,0,8
Verona,Benevento,1,0,19,20,2017/2018,1,1,1204,1,-1
Napoli,Inter,0,0,1,2,2017/2018,1,0,1205,0,-1
Sampdoria,Crotone,5,0,6,15,2017/2018,1,5,1206,5,-9
AC Milan,Genoa,0,0,10,17,2017/2018,1,0,1207,0,-7
Atalanta,Bologna,1,0,12,7,2017/2018,1,1,1208,1,5
Benevento,Fiorentina,0,3,20,12,2017/2018,1,3,1209,-3,8
Chievo,Verona,3,2,12,16,2017/2018,1,5,1210,1,-4
Lazio,Cagliari,3,0,4,15,2017/2018,1,3,1211,3,-11
SPAL 2013,Sassuolo,0,1,18,19,2017/2018,1,1,1212,-1,-1
Torino,Roma,0,1,10,6,2017/2018,1,1,1213,-1,4
Inter,Sampdoria,3,2,2,6,2017/2018,1,5,1214,1,-4
Atalanta,Verona,3,0,12,18,2017/2018,1,3,1215,3,-6
Bologna,Lazio,1,2,9,4,2017/2018,1,3,1216,-1,5
Cagliari,Benevento,2,1,16,20,2017/2018,1,3,1217,1,-4
Chievo,AC Milan,1,4,8,12,2017/2018,1,5,1218,-3,-4
Fiorentina,Torino,3,0,11,12,2017/2018,1,3,1219,3,-1
Genoa,Napoli,2,3,15,2,2017/2018,1,5,1220,-1,13
Juventus,SPAL 2013,4,1,4,19,2017/2018,1,5,1221,3,-15
Roma,Crotone,1,0,5,17,2017/2018,1,1,1222,1,-12
Sassuolo,Udinese,0,1,14,16,2017/2018,1,1,1223,-1,-2
AC Milan,Juventus,0,2,8,3,2017/2018,1,2,1224,-2,5
Roma,Bologna,1,0,5,11,2017/2018,1,1,1225,1,-6
Benevento,Lazio,1,5,20,4,2017/2018,1,6,1226,-4,16
Crotone,Fiorentina,2,1,17,7,2017/2018,1,3,1227,1,10
Napoli,Sassuolo,3,1,2,16,2017/2018,1,4,1228,2,-14
SPAL 2013,Genoa,1,0,19,17,2017/2018,1,1,1229,1,2
Sampdoria,Chievo,4,1,6,10,2017/2018,1,5,1230,3,-4
Torino,Cagliari,2,1,12,14,2017/2018,1,3,1231,1,-2
Udinese,Atalanta,2,1,13,10,2017/2018,1,3,1232,1,3
Verona,Inter,1,2,19,4,2017/2018,1,3,1233,-1,15
Bologna,Crotone,2,3,12,15,2017/2018,1,5,1234,-1,-3
Genoa,Sampdoria,0,2,18,6,2017/2018,1,2,1235,-2,12
Atalanta,SPAL 2013,1,1,10,16,2017/2018,1,2,1236,0,-6
Cagliari,Verona,2,1,16,19,2017/2018,1,3,1237,1,-3
Chievo,Napoli,0,0,11,1,2017/2018,1,0,1238,0,10
Fiorentina,Roma,2,4,7,5,2017/2018,1,6,1239,-2,2
Inter,Torino,1,1,2,10,2017/2018,1,2,1240,0,-8
Juventus,Benevento,2,1,3,20,2017/2018,1,3,1241,1,-17
Sassuolo,AC Milan,0,2,17,10,2017/2018,1,2,1242,-2,7
Napoli,AC Milan,2,1,1,7,2017/2018,1,3,1243,1,-6
Roma,Lazio,2,1,5,4,2017/2018,1,3,1244,1,1
Benevento,Sassuolo,1,2,20,17,2017/2018,1,3,1245,-1,3
Crotone,Genoa,0,1,15,18,2017/2018,1,1,1246,-1,-3
Inter,Atalanta,2,0,4,10,2017/2018,1,2,1247,2,-6
SPAL 2013,Fiorentina,1,1,18,9,2017/2018,1,2,1248,0,9
Sampdoria,Juventus,3,2,6,3,2017/2018,1,5,1249,1,3
Torino,Chievo,1,1,9,11,2017/2018,1,2,1250,0,-2
Udinese,Cagliari,0,1,13,14,2017/2018,1,1,1251,-1,-1
Verona,Bologna,2,3,19,13,2017/2018,1,5,1252,-1,6
Bologna,Sampdoria,3,0,10,6,2017/2018,1,3,1253,3,4
Cagliari,Inter,1,3,13,2,2017/2018,1,4,1254,-2,11
Chievo,SPAL 2013,2,1,11,17,2017/2018,1,3,1255,1,-6
Sassuolo,Verona,0,2,16,19,2017/2018,1,2,1256,-2,-3
AC Milan,Torino,0,0,9,10,2017/2018,1,0,1257,0,-1
Genoa,Roma,1,1,18,4,2017/2018,1,2,1258,0,14
Juventus,Crotone,3,0,3,15,2017/2018,1,3,1259,3,-12
Lazio,Fiorentina,1,1,5,11,2017/2018,1,2,1260,0,-6
Udinese,Napoli,0,1,14,2,2017/2018,1,1,1261,-1,12
Atalanta,Benevento,1,0,12,20,2017/2018,1,1,1262,1,-8
Napoli,Juventus,0,1,1,3,2017/2018,1,1,1263,-1,-2
Roma,SPAL 2013,3,1,4,18,2017/2018,1,4,1264,2,-14
Torino,Atalanta,1,1,11,10,2017/2018,1,2,1265,0,1
Benevento,AC Milan,2,2,20,8,2017/2018,1,4,1266,0,12
Bologna,Cagliari,1,1,9,13,2017/2018,1,2,1267,0,-4
Fiorentina,Sassuolo,3,0,12,16,2017/2018,1,3,1268,3,-4
Inter,Chievo,5,0,3,12,2017/2018,1,5,1269,5,-9
Sampdoria,Lazio,1,2,6,5,2017/2018,1,3,1270,-1,1
Crotone,Udinese,0,3,15,14,2017/2018,1,3,1271,-3,1
Verona,Genoa,0,1,19,17,2017/2018,1,1,1272,-1,2
Cagliari,Sampdoria,2,2,13,6,2017/2018,1,4,1273,0,7
Juventus,Inter,0,0,3,1,2017/2018,1,0,1274,0,2
AC Milan,Bologna,2,1,8,9,2017/2018,1,3,1275,1,-1
Chievo,Roma,0,0,12,4,2017/2018,1,0,1276,0,8
Napoli,Fiorentina,0,0,3,8,2017/2018,1,0,1277,0,-5
SPAL 2013,Verona,2,2,18,19,2017/2018,1,4,1278,0,-1
Sassuolo,Crotone,2,1,18,16,2017/2018,1,3,1279,1,2
Udinese,Benevento,2,0,14,20,2017/2018,1,2,1280,2,-6
Lazio,Torino,1,3,5,12,2017/2018,1,4,1281,-2,-7
Genoa,Atalanta,1,2,16,12,2017/2018,1,3,1282,-1,4
Inter,Udinese,1,3,1,13,2017/2018,1,4,1283,-2,-12
Roma,Cagliari,1,0,4,14,2017/2018,1,1,1284,1,-10
Torino,Napoli,1,3,9,2,2017/2018,1,4,1285,-2,7
Atalanta,Lazio,3,3,8,5,2017/2018,1,6,1286,0,3
Benevento,SPAL 2013,1,2,20,18,2017/2018,1,3,1287,-1,2
Bologna,Juventus,0,3,12,3,2017/2018,1,3,1288,-3,9
Crotone,Chievo,1,0,18,13,2017/2018,1,1,1289,1,5
Fiorentina,Genoa,0,0,10,18,2017/2018,1,0,1290,0,-8
Sampdoria,Sassuolo,0,1,6,18,2017/2018,1,1,1291,-1,-12
Verona,AC Milan,3,0,19,8,2017/2018,1,3,1292,3,11
Cagliari,Fiorentina,0,1,14,9,2017/2018,1,1,1293,-1,5
Chievo,Bologna,2,3,13,12,2017/2018,1,5,1294,-1,1
AC Milan,Atalanta,0,2,9,8,2017/2018,1,2,1295,-2,1
Genoa,Benevento,1,0,17,20,2017/2018,1,1,1296,1,-3
Juventus,Roma,1,0,2,4,2017/2018,1,1,1297,1,-2
Lazio,Crotone,4,0,5,17,2017/2018,1,4,1298,4,-12
Napoli,Sampdoria,3,2,2,6,2017/2018,1,5,1299,1,-4
SPAL 2013,Torino,2,2,18,11,2017/2018,1,4,1300,0,7
Sassuolo,Inter,1,0,16,3,2017/2018,1,1,1301,1,13
Udinese,Verona,4,0,12,19,2017/2018,1,4,1302,4,-7
Crotone,Napoli,0,1,18,1,2017/2018,1,1,1303,-1,17
Atalanta,Cagliari,1,2,7,16,2017/2018,1,3,1304,-1,-9
Benevento,Chievo,1,0,20,13,2017/2018,1,1,1305,1,7
Bologna,Udinese,1,2,12,9,2017/2018,1,3,1306,-1,3
Fiorentina,AC Milan,1,1,9,11,2017/2018,1,2,1307,0,-2
Inter,Lazio,0,0,3,5,2017/2018,1,0,1308,0,-2
Roma,Sassuolo,1,1,4,15,2017/2018,1,2,1309,0,-11
Sampdoria,SPAL 2013,2,0,7,17,2017/2018,1,2,1310,2,-10
Torino,Genoa,0,0,11,16,2017/2018,1,0,1311,0,-5
Verona,Juventus,1,3,19,2,2017/2018,1,4,1312,-2,17
Chievo,Udinese,1,1,13,8,2017/2018,1,2,1313,0,5
Fiorentina,Inter,1,1,8,3,2017/2018,1,2,1314,0,5
AC Milan,Crotone,1,0,11,18,2017/2018,1,1,1315,1,-7
Benevento,Sampdoria,3,2,20,6,2017/2018,1,5,1316,1,14
Cagliari,Juventus,0,1,15,2,2017/2018,1,1,1317,-1,13
Genoa,Sassuolo,1,0,16,14,2017/2018,1,1,1318,1,2
Napoli,Verona,2,0,2,19,2017/2018,1,2,1319,2,-17
Roma,Atalanta,1,2,4,10,2017/2018,1,3,1320,-1,-6
SPAL 2013,Lazio,2,5,17,5,2017/2018,1,7,1321,-3,12
Torino,Bologna,3,0,11,12,2017/2018,1,3,1322,3,-1
Atalanta,Napoli,0,1,7,1,2017/2018,1,1,1323,-1,6
Bologna,Benevento,3,0,12,20,2017/2018,1,3,1324,3,-8
Cagliari,AC Milan,1,2,16,11,2017/2018,1,3,1325,-1,5
Inter,Roma,1,1,3,5,2017/2018,1,2,1326,0,-2
Lazio,Chievo,5,1,4,13,2017/2018,1,6,1327,4,-9
Sampdoria,Fiorentina,3,1,7,9,2017/2018,1,4,1328,2,-2
Sassuolo,Torino,1,1,15,11,2017/2018,1,2,1329,0,4
Udinese,SPAL 2013,1,1,11,17,2017/2018,1,2,1330,0,-6
Verona,Crotone,0,3,19,18,2017/2018,1,3,1331,-3,1
Juventus,Genoa,1,0,2,15,2017/2018,1,1,1332,1,-13
Lazio,Udinese,3,0,3,9,2017/2018,1,3,1333,3,-6
Sampdoria,Roma,1,1,6,5,2017/2018,1,2,1334,0,1
AC Milan,Lazio,2,1,7,3,2017/2018,1,3,1335,1,4
Chievo,Juventus,0,2,13,2,2017/2018,1,2,1336,-2,11
Crotone,Cagliari,1,1,17,16,2017/2018,1,2,1337,0,1
Fiorentina,Verona,1,4,11,19,2017/2018,1,5,1338,-3,-8
Genoa,Udinese,0,1,15,9,2017/2018,1,1,1339,-1,6
Napoli,Bologna,3,1,2,12,2017/2018,1,4,1340,2,-10
Roma,Sampdoria,0,1,5,6,2017/2018,1,1,1341,-1,-1
SPAL 2013,Inter,1,1,18,4,2017/2018,1,2,1342,0,14
Sassuolo,Atalanta,0,3,13,9,2017/2018,1,3,1343,-3,4
Torino,Benevento,3,0,10,20,2017/2018,1,3,1344,3,-10
Inter,Crotone,1,1,4,17,2017/2018,1,2,1345,0,-13
Sampdoria,Torino,1,1,6,9,2017/2018,1,2,1346,0,-3
Atalanta,Chievo,1,0,8,13,2017/2018,1,1,1347,1,-5
Benevento,Napoli,0,2,20,1,2017/2018,1,2,1348,-2,19
Bologna,Fiorentina,1,2,12,11,2017/2018,1,3,1349,-1,1
Cagliari,SPAL 2013,2,0,16,18,2017/2018,1,2,1350,2,-2
Juventus,Sassuolo,7,0,2,15,2017/2018,1,7,1351,7,-13
Udinese,AC Milan,1,1,10,8,2017/2018,1,2,1352,0,2
Verona,Roma,0,1,19,5,2017/2018,1,1,1353,-1,14
Lazio,Genoa,1,2,3,16,2017/2018,1,3,1354,-1,-13
Fiorentina,Juventus,0,2,11,2,2017/2018,1,2,1355,-2,9
Crotone,Atalanta,1,1,17,7,2017/2018,1,2,1356,0,10
Napoli,Lazio,4,1,2,3,2017/2018,1,5,1357,3,-1
SPAL 2013,AC Milan,0,4,18,8,2017/2018,1,4,1358,-4,10
Chievo,Genoa,0,1,15,13,2017/2018,1,1,1359,-1,2
Inter,Bologna,2,1,4,13,2017/2018,1,3,1360,1,-9
Roma,Benevento,5,2,5,20,2017/2018,1,7,1361,3,-15
Sampdoria,Verona,2,0,6,19,2017/2018,1,2,1362,2,-13
Sassuolo,Cagliari,0,0,16,14,2017/2018,1,0,1363,0,2
Torino,Udinese,2,0,9,10,2017/2018,1,2,1364,2,-1
Chievo,Cagliari,2,1,16,14,2017/2018,1,3,1365,1,2
Genoa,Inter,2,0,12,3,2017/2018,1,2,1366,2,9
Udinese,Roma,0,2,10,4,2017/2018,1,2,1367,-2,6
AC Milan,Sampdoria,1,0,7,6,2017/2018,1,1,1368,1,1
Atalanta,Fiorentina,1,1,8,11,2017/2018,1,2,1369,0,-3
Benevento,Crotone,3,2,20,17,2017/2018,1,5,1370,1,3
Bologna,Sassuolo,2,1,13,16,2017/2018,1,3,1371,1,-3
Napoli,SPAL 2013,1,0,1,18,2017/2018,1,1,1372,1,-17
Torino,Juventus,0,1,9,2,2017/2018,1,1,1373,-1,7
Lazio,Verona,2,0,5,19,2017/2018,1,2,1374,2,-14
Bologna,Genoa,2,0,13,12,2017/2018,1,2,1375,2,1
Inter,Benevento,2,0,5,20,2017/2018,1,2,1376,2,-15
Crotone,SPAL 2013,2,3,17,18,2017/2018,1,5,1377,-1,-1
Fiorentina,Chievo,1,0,12,15,2017/2018,1,1,1378,1,-3
Roma,AC Milan,0,2,4,7,2017/2018,1,2,1379,-2,-3
Sampdoria,Udinese,2,1,7,11,2017/2018,1,3,1380,1,-4
Sassuolo,Lazio,0,3,16,5,2017/2018,1,3,1381,-3,11
Verona,Torino,2,1,19,9,2017/2018,1,3,1382,1,10
Cagliari,Napoli,0,5,14,1,2017/2018,1,5,1383,-5,13
Lazio,Juventus,0,1,3,2,2017/2018,1,1,1384,-1,1
Napoli,Roma,2,4,1,5,2017/2018,1,6,1385,-2,-4
SPAL 2013,Bologna,1,0,18,12,2017/2018,1,1,1386,1,6
Roma,Torino,3,0,3,9,2017/2018,1,3,1387,3,-6
Verona,Chievo,1,0,19,15,2017/2018,1,1,1388,1,4
Bologna,Atalanta,0,1,12,8,2017/2018,1,1,1389,-1,4
Cagliari,Lazio,2,2,14,4,2017/2018,1,4,1390,0,10
Crotone,Sampdoria,4,1,19,6,2017/2018,1,5,1391,3,13
Fiorentina,Benevento,1,0,10,20,2017/2018,1,1,1392,1,-10
Genoa,AC Milan,0,1,13,7,2017/2018,1,1,1393,-1,6
Inter,Napoli,0,0,5,1,2017/2018,1,0,1394,0,4
Juventus,Udinese,2,0,2,11,2017/2018,1,2,1395,2,-9
Sassuolo,SPAL 2013,1,1,18,17,2017/2018,1,2,1396,0,1
Juventus,Atalanta,2,0,1,8,2017/2018,1,2,1397,2,-7
SPAL 2013,Juventus,0,0,17,1,2017/2018,1,0,1398,0,16
Udinese,Sassuolo,1,2,11,18,2017/2018,1,3,1399,-1,-7
AC Milan,Chievo,3,2,6,16,2017/2018,1,5,1400,1,-10
Benevento,Cagliari,1,2,20,15,2017/2018,1,3,1401,-1,5
